I believe in America.                                                                 --- Acredito na América.
Like they should have stopped Hitler in Munich, not letting him get away with it.     --- Nunca deviam tê-lo deixado escapar. Eles estavam a pedir problemas dos grandes.
You know, Mike, we were all proud of you.                                             --- Sabes, Mike, tivemos orgulho em ti.
Being a hero and all.                                                                 --- Foste um herói.
Your father too.                                                                      --- O teu pai também.
Nothing.                                                                              --- Nada.
Not a hint.                                                                           --- Nenhuma pista.
Absolutely nothing.                                                                   --- Absolutamente nada.
Even Sollozzo's people don't know where the meeting will be held.                     --- Nem a gente do Sollozzo sabe onde vai ser o encontro.
How much time do we have?                                                             --- Quanto tempo temos?
They're going to pick you up outside Jack Dempsey's in an hour and a half.            --- Eles vão buscar-te em frente à casa do Jack Dempsey dentro de uma hora e meia. Exactamente uma hora e meia.
- We could put a tail on them.                                                        --- Poderíamos segui-los e ver o que sai dali.
- Sollozzo would lose our ass.                                                        --- Sollozzo despistar-nos-ia ao virar da esquina!
- What about the negotiator?                                                          --- E o negociador?
- He's playing pinochle with my men.                                                  --- Está em minha casa, a jogar com dois dos meus homens.
- He's happy. They're letting him win.                                                --- Está feliz, pois estão a deixá-lo ganhar.
- Too risky.                                                                          --- É demasiado arriscado para o Mike.
Maybe we should call it off.                                                          --- Talvez devêssemos cancelar isto, Sonny.
The negotiator plays cards until Mike is back safe.                                   --- O negociador fica a jogar às cartas, até o Mike voltar são e salvo.
- He could blast whoever is in the car.                                               --- Então por que não rebentas com todos os que estão no carro?
- They'll expect that.                                                                --- É demasiado perigoso; eles estão à espera disso.
Sollozzo might not even be in the car, Sonny!                                         --- Talvez o Sollozzo nem esteja no carro, Sonny.
I' ll get it.                                                                         --- Eu atendo.
Louis´ restaurant in the Bronx.                                                       --- O restaurante do Louis no Bronx.
- Is it reliable?                                                                     --- - É de confiança?
- My man in McCluskey's precinct.                                                     --- - É o meu homem da esquadra do McCluskey.
A police captain is on call 24 hours a day.                                           --- Um capitão da Polícia tem de lá estar 24 horas por dia.
He'll be there between 8 and 10.                                                      --- Ele foi-se embora entre as oito e as dez.
- Anybody know this joint?                                                            --- Alguém conhece este restaurante? Claro que sim.
- Sure, I do.                                                                         --- Eu conheço.
It's perfect for us.                                                                  --- É perfeito para nós.
A small family place, good food.                                                      --- Um pequeno restaurante familiar. Boa comida.
Everyone minds his business.                                                          --- Ninguém se mete na vida dos outros.
Perfect.                                                                              --- É perfeito.
They've got an old-fashioned toilet.                                                  --- Pete, eles têm uma casa de banho à moda antiga.
You know, the box and the chain thing.                                                --- Estás a ver, aquela do depósito da água e a corrente.
We might be able to tape the gun behind it.                                           --- Talvez possamos colar a arma atrás dele.
All right.                                                                            --- Está bem.
Mike, you go to the restaurant, you eat, talk for a while, you relax.                 --- Mike, tu vais para o restaurante, comes, falas um bocado, relaxas.
Make them relax.                                                                      --- Fá-los relaxar.
Then you go to take a leak.                                                           --- Depois, levantas-te e vais mijar.
No, better still, you ask permission to go.                                           --- Não, melhor ainda, pedes licença para ir.
Then you come back blasting.                                                          --- Depois, quando voltares, começas a disparar e não arrisques.
Two shots in the head apiece.                                                         --- Dois tiros na cabeça de cada um.
I want somebody very good to plant that gun.                                          --- Ouçam, quero alguém bom, ou seja, muito bom, para lá colocar a arma.
I don't want him coming out with just his dick.                                       --- Não quero que o meu irmão saia de lá com a pila nas mãos, certo?
- The gun will be there.                                                              --- - A arma estará lá. - Muito bem. - Escuta.
- You drive him and pick him up.                                                      --- Tu vais levá-lo e trazê-lo depois do serviço feito.
Let's move.                                                                           --- Vamos. Toca a andar.
Did he tell you to drop the gun right away?                                           --- Ele disse-te para largares logo a arma?
Yeah, a million times.                                                                --- Sim. Um milhão de vezes.
Don't forget.                                                                         --- Não te esqueças.
Two shots apiece in the head as soon as you come out.                                 --- Dois tiros na cabeça de cada um, assim que saíres, certo?
How long do you think it will be before I can come back?                              --- Quanto tempo achas que terá de passar até eu poder voltar?
At least a year.                                                                      --- Pelo menos, um ano, Mike.
I' ll square it with Mom, that you're not seeing her before you leave and...          --- Ouve...
I' ll get a message to that girlfriend when the time is right.                        --- Explicarei à mãe por que não foste vê-la antes de partires e... entregarei uma mensagem àquela tua namorada, quando achar que é a altura certa.
Take care.                                                                            --- Tem cuidado.
Take care, Mike.                                                                      --- - Tem cuidado, Mike.
I'm glad you came.                                                                    --- Fico feliz por ter vindo, Mike.
I hope we can straighten everything out.                                              --- Espero que possamos resolver tudo.
It's not the way I wanted things to go.                                               --- Isto é terrível. Não era assim que eu queria que as coisas se passassem.
It should never have happened.                                                        --- - Nunca devia ter acontecido.
I want to straighten everything out.                                                  --- - Vou resolver tudo esta noite.
I don't want my father bothered again.                                                --- Não quero que incomodem mais o meu pai.
I swear on my children that he won't be, Mike.                                        --- Assim será, Mike. Juro pelos meus filhos.
But you have to keep an open mind when we talk.                                       --- Mas tem de ter um espírito aberto quando conversamos.
I hope you're not a hothead like Sonny.                                               --- Espero que não ferva em pouca água como o seu irmão Sonny.
You can't talk business with him.                                                     --- Não se pode falar de negócios com ele.
He's a good kid.                                                                      --- Ele é bom rapaz.
I'm sorry about the other night, Mike.                                                --- Desculpe aquilo da outra noite, Mike.
I' ve got to frisk you, so turn around.                                               --- Tenho de revistá-lo. Por isso, vire-se.
On your knees, facing me.                                                             --- De joelhos, a olhar para mim.
I guess I'm getting too old for my job.                                               --- Acho que estou a ficar velho para este trabalho.
Too grouchy.                                                                          --- Demasiado rabugento.
Can't stand the aggravation.                                                          --- Não suporto provocações.
You know how it is.                                                                   --- Sabe como é.
He's clean.                                                                           --- Ele não tem nada.
Going to Jersey?                                                                      --- Vamos para Jersey?
Maybe.                                                                                --- Talvez.
Nice work, Lou.                                                                       --- Bom trabalho, Lou.
- How's the food in this restaurant?                                                  --- Como é a comida italiana neste restaurante? É boa.
- Try the veal.                                                                       --- Experimente a vitela.
It's the best in the city.                                                            --- É a melhor da cidade.
I' ll have it.                                                                        --- Vou prová-la.
- I'm going to speak Italian to Mikey.                                                --- - Vou falar italiano com o Mike.
- Go ahead.                                                                           --- - À vontade.
What I want...                                                                        --- O que eu quero...
What's most important to me is that I have a guarantee.                               --- O mais importante para mim, é ter uma garantia: Chega de atentados à vida do meu pai.
No more attempts on my father's life. What guarantees can I give you?                 --- Que garantias te posso dar, Mike?
I'm the hunted one!                                                                   --- O perseguido, sou eu!
I missed my chance.                                                                   --- Perdi a minha oportunidade.
You think too much of me, kid.                                                        --- Pensas demasiado de mim, rapaz.
I'm not that clever.                                                                  --- Não sou assim tão esperto.
All I want is a truce.                                                                --- Apenas quero uma trégua.
I have to go to the bathroom.                                                         --- Tenho de ir à casa de banho.
Is it all right?                                                                      --- Pode ser?
When you got to go, you got to go.                                                    --- Se tens de ir, tens de ir.
He's clean.                                                                           --- Revistei-o. Ele está limpo.
Don't take too long.                                                                  --- Não demores muito.
I' ve frisked a thousand punks.                                                       --- Revistei uns mil bandidos.
Okay, you take over.                                                                  --- Vá lá, vamos embora.
I love you, Grandpa.                                                                  --- Gosto muito de si, avô.
I'm sorry, Pa.                                                                        --- Desculpe, pai.
He doesn't know you yet.                                                              --- Ele ainda não o conhece.
- Hey, big guy. Give it to Grandpa.                                                   --- - Grandalhão, dá isso ao avô.
- Okay." I hope you get well, Grandpa, and wish I see you soon.                       --- - Está bem." Espero que fique bom, avô, e gostava de o ter visto mais cedo.
Your grandson Frank."                                                                 --- Beijos, o seu neto, Frank."
Go with your mother.                                                                  --- Vai com a tua mãe. Vai.
Take them downstairs.                                                                 --- Leva-os lá para baixo.
Go on, Carlo, you too.                                                                --- Vai, Carlo, tu também.
Go on.                                                                                --- Vão.
- What's the matter with you, Carlo?                                                  --- - Que se passa contigo, Carlo?
- Shut up and set the table.                                                          --- - Cala-te e põe a mesa.
Since McCluskey's killing, the police have cracked down on our operations.            --- Desde a morte do McCluskey, a Polícia tem interferido em quase todas as nossas operações.
And also the other families.                                                          --- Assim como as outras Famílias.
There's been a lot of bad blood.                                                      --- Tem corrido muito sangue.
They hit us, so we hit them back.                                                     --- Eles disparam contra nós, portanto, temos de ripostar.
Through our newspaper contacts we've been able to put out material about McCluskey's link with Sollozzo in the drug rackets. --- Através dos nossos contactos nos jornais, temos conseguido que saia muito material sobre o McCluskey estar ligado ao Sollozzo na droga.
So things are loosening up.                                                           --- Assim, as coisas estão a começar a vir ao de cima.
And I'm sending Fredo to Las Vegas, under the protection of Don Francesco of L. A.    --- Vou mandar o Fredo para Las Vegas, sob a protecção de Don Francesco, de L. A.
- I want him to rest.                                                                 --- - Quero que ele descanse.
- I'm going to learn the casino business.                                             --- - Vou aprender o negócio do casino.
Where's Michael?                                                                      --- Onde está o Michael?
It was Michael who killed Sollozzo.                                                   --- Foi o Michael que matou o Sollozzo.
But he's safe.                                                                        --- Mas está a salvo.
We're starting to work to bring him back.                                             --- Estamos a começar a trabalhar no regresso dele agora.
I want you to find out where that old pimp Tattaglia is hiding.                       --- Descobriste onde estava escondido aquele chulo do Tattaglia?
I want him now.                                                                       --- Quero o couro dele, já! De imediato!
Sonny, things are starting to loosen up.                                              --- - Sonny... - O que é? As coisas estão a começar a ficar mais calmas.
If you go after Tattaglia, all hell will break loose.                                 --- Se fores atrás do Tattaglia, deitarás tudo a perder. Deixa as coisas arrefecerem.
Pop can negotiate.                                                                    --- O pai pode negociar.
- He must get better first.                                                           --- Ele nada pode fazer até melhorar! Eu decido o que vai ser feito.
I' ll decide...                                                                       --- Pois.
- War is costly.                                                                      --- Isto está a custar-nos muito massa.
We can't do business.                                                                 --- Não está a entrar nada! - Não podemos trabalhar. - Nem eles!
- Neither can they.                                                                   --- - Eles não têm as nossas despesas!
Don't worry about it!                                                                 --- - Não te preocupes com isso!
- We can't afford a stalemate.                                                        --- - Não pode haver um impasse!
- No more stalemate.                                                                  --- - Não haverá mais impasses!
I' ll kill the bastard!                                                               --- Vou matar aquele velho e acabo com isto!
- You're getting a great reputation!                                                  --- Vou... Estás a ficar com uma grande reputação. Espero que gostes.
Do as I say!                                                                          --- Faz o que eu te disser para fazeres!
If I had a Sicilian wartime consigliere, I wouldn't be in this shape!                 --- Raios! Se tivesse um Consigliere de guerra, um siciliano, não estaria assim.
Pop had Genco. Look what I got.                                                       --- O pai tinha o Genco, olha o que eu tenho.
I'm sorry.                                                                            --- Desculpa.
I didn't mean that.                                                                   --- Não quis dizer isso.
Ma made a little dinner.                                                              --- A mãe fez um jantarinho.
It's Sunday.                                                                          --- É domingo...
Niggers are having a good time with our policy banks in Harlem.                       --- Os negros estão a divertir-se com a nossa política nos bancos em Harlem.
Driving new Cadillacs, paying 50% on a bet.                                           --- Conduzem Cadillacs novos, pagam 50% numa aposta.
That's because they've started making big money.                                      --- Sabia que isso aconteceria logo que começassem a ganhar bem.
Papa never talked business at the table.                                              --- O pai nunca falou de negócios à mesa, diante dos miúdos.
- Shut up, Connie...                                                                  --- Cala-te, Connie, quando o Sonny está a falar...
- Don't you ever tell her to shut up.                                                 --- - Nunca mais a mandes calar.
Don't interfere.                                                                      --- - Santino, não interfiras.
I'd like to talk to you after dinner.                                                 --- Sonny, Tom, gostaria de falar convosco talvez depois do jantar.
I could do more for the family...                                                     --- Poderia estar a fazer muito mais pela Família.
We don't discuss business at the table.                                               --- Não discutimos negócios à mesa.
I kiss your hand, Don Tommasino.                                                      --- Beijo-lhe a mão, Don Tommasino.
Why are you so far from the house?                                                    --- Porque estás tão longe de casa?
You know I'm responsible to your father for your life.                                --- Sabes que sou responsável pela tua vida perante o teu pai.
The bodyguards are here.                                                              --- Tenho o Carlo e o Fabrizio.
It's still dangerous...                                                               --- Mas isso não chega.
We've heard from Santino in New York...                                               --- Ainda é perigoso. Soubemos pelo Santino em Nova Iorque...
Your enemies know you're here.                                                        --- Parece que os teus inimigos sabem que estás aqui.
Did Santino say when I can go back?                                                   --- O Santino disse quando posso voltar?
Not yet.                                                                              --- Ainda não.
It's out of the question.                                                             --- Por ora está fora de questão. Talvez mais tarde se saiba.
Where are you going now?                                                              --- Obrigado.
To Corleone.                                                                          --- - Corleone.
Take my car.                                                                          --- Porque não levas o meu carro?
I want to walk.                                                                       --- Não.
Be careful.                                                                           --- Tem cuidado!
Where have all the men gone?                                                          --- - Para onde foram todos os homens?
They're all dead from vendettas.                                                      --- - Foram mortos por vingança.
There are the names of the dead.                                                      --- Pronto. Aqui estão os nomes dos mortos.
Hey, hey, take me to the America, G. I.!                                              --- Leve-me para a América, soldado!
Hey, hey, take me to the America, G.                                                  --- Leve-me para a América, soldado!
I.!                                                                                   --- Clark Gable!
Clark Gable! America! Take me to the America, G.                                      --- América, América, levem-me para a América, soldados!
Clark Gable, Rita Hayworth!                                                           --- Clark Gable, Rita Hayworth!
Mamma Mia what a beauty.                                                              --- Mamma mia, que beleza.
I think you got hit by the thunderbolt.                                               --- Acho que foste atingido por um meteorito.
In Sicily women are more dangerous than shotguns.                                     --- Michaele... Ouve bem. Na Sicília, as mulheres são mais perigosas que as armas.
Did you have a good hunt?                                                             --- A caça foi boa?
You know all the girls around here?                                                   --- Conhece todas as raparigas daqui?
We saw some real beauties.                                                            --- Vimos algumas verdadeiras beldades.
One of them struck our friend like a thunderbolt.                                     --- Uma delas, em especial, atingiu o nosso amigo como um raio.
She would tempt the devil himself.                                                    --- Ela tentaria o próprio diabo.
Really put together. Right, Calo?                                                     --- Tudo harmonioso, não, Calo?
Such hair, such mouth!                                                                --- Que cabelo, que boca!
The girls around here are beautiful... but virtuous.                                  --- As raparigas daqui são lindas, mas virtuosas.
This one had a purple dress...                                                        --- Esta tinha um vestido púrpura...
And a purple ribbon in her hair.                                                      --- E uma fita púrpura no cabelo.
A type more Greek than Italian.                                                       --- Uma beleza tipo mais grego do que italiano.
Do you know her?                                                                      --- Conhece-la?
There's no girl like that in this town.                                               --- Não há uma rapariga como essa na vila.
My God, I understand!                                                                 --- Meu Deus, estou a entender!
What's wrong?                                                                         --- Que se passa?
Let's go.                                                                             --- Vamos.
It's his daughter.                                                                    --- - É a filha dele.
Tell him to come here.                                                                --- - Diz-lhe para vir aqui.
Call him.                                                                             --- Chama-o.
Fabrizio, you translate.                                                              --- - Fabrizio, tu traduzes.
I apologize if I offended you.                                                        --- Peço desculpa se o ofendi.
I'm a stranger in this country.                                                       --- Sou um estrangeiro neste país.
I meant no disrespect to you or your daughter.                                        --- Não queria desrespeitá-lo, nem à sua filha.
I'm an American, hiding in Sicily.                                                    --- Sou um americano escondido na Sicília.
My name is Michael Corleone.                                                          --- Chamo-me Michael Corleone.
There are people who'd pay a lot of money for that information.                       --- Há pessoas que pagariam muito dinheiro por essa informação.
But then your daughter would lose a father instead of gaining a husband.              --- Mas a sua filha perderia um pai, em vez de ganhar um marido.
I want to meet your daughter.                                                         --- Quero conhecer a sua filha.
With your permission, and under the supervision of your family.                       --- Com a sua autorização e sob a supervisão da sua Família.
With all respect.                                                                     --- Com todo o respeito.
Come to my house Sunday morning.                                                      --- Venha a minha casa no domingo de manhã.
My name is Vitelli.                                                                   --- Chamo-me Vitelli.
What's her name?                                                                      --- E como se chama a sua filha?
I' ll knock you dizzy.                                                                --- Vou dar cabo de ti.
Save it for the library.                                                              --- Guarda isso para a biblioteca.
We've got to pick up my sister.                                                       --- Anda, temos de ir buscar a minha irmã. Vamos.
What's the matter?                                                                    --- Que se passa?
What's the matter?                                                                    --- Que se passa?
- It was my fault!                                                                    --- - A culpa foi minha!
- Where is he?                                                                        --- - Onde está ele?
It was my fault.                                                                      --- Sonny, por favor, a culpa foi minha!
I hit him.                                                                            --- Sonny, a culpa foi minha! Eu bati-lhe!
I started a fight with him.                                                           --- Comecei a lutar com ele. Por favor, deixa-me...
I hit him, so he hit me...                                                            --- Eu bati-lhe, ele bateu-me.
I'm just going to get a doctor to take a look at you.                                 --- Vou buscar um médico para ver o teu estado, certo?
Sonny, please don't do anything.                                                      --- Sonny, por favor, não faças nada! Por favor, não faças nada!
What's the matter with you?                                                           --- Que se passa contigo?
What am I going to do?                                                                --- Que vou eu fazer?
Make that baby an orphan before he's born?                                            --- Vou fazer desse bebé um órfão antes de ele nascer?
You spic slobs still betting Yankees?                                                 --- Vocês, latinos de merda, ainda apostam forte nos Yankees?
Tell them to stop taking in action.                                                   --- Diz-lhes para pararem, certo?
We lost enough money last week.                                                       --- Já perdemos dinheiro suficiente a semana passada...
Come here, come here!                                                                 --- Carlo, chega aqui, chega aqui!
If you touch my sister again, I' ll kill you.                                         --- Se voltares a tocar na minha irmã, eu mato-te.
Hey!                                                                                  --- Viva!
We weren't expecting you, Kay.                                                        --- Não te esperávamos, Kay.
You should call.                                                                      --- Devias ter telefonado.
Yes, I have.                                                                          --- Sim. Bem, eu telefonei.
I' ve tried writing and calling.                                                      --- Isto é, tentei escrever e telefonar.
- I want to reach Michael.                                                            --- - Quero contactar com o Michael.
- Nobody knows where he is.                                                           --- - Ninguém sabe onde ele está.
All we know is that he's all right.                                                   --- Sabemos que ele está bem, mas é tudo.
- What was that?                                                                      --- - Que foi aquilo?
- An accident, but nobody was hurt.                                                   --- - Foi um acidente, mas ninguém se magoou.
Tom, will you give this letter to Michael. Please?                                    --- Tom... dás esta carta ao Michael, por favor?
If I accepted that, a court could prove I have knowledge of his whereabouts.          --- Se a aceitasse, um tribunal provaria que eu sei o paradeiro dele.
He'll get in touch with you.                                                          --- Sê paciente, Kay. Ele entrará em contacto contigo.
I let my cab go, so can I call another one, please?                                   --- Deixei o meu táxi ir. Posso entrar para chamar outro, por favor?
Come on.                                                                              --- Entra, desculpa.
Sorry.                                                                                --- Anda.
- Is Carlo there?                                                                     --- - Está? - O Carlo está?
- Who is this?                                                                        --- - Quem fala?
- A friend of Carlo.                                                                  --- - É uma amiga do Carlo.
Tell him that I can't make it tonight until later.                                    --- Pode dizer-lhe que só posso mais tarde esta noite.
Bitch!                                                                                --- Cabra!
- Dinner's on the table.                                                              --- - O jantar está na mesa.
- I'm not hungry.                                                                     --- - Ainda não tenho fome.
- The food is getting cold.                                                           --- - A comida está na mesa. Está a arrefecer.
- I' ll eat out later.                                                                --- - Como mais tarde.
- You just told me to make you dinner!                                                --- Acabaste de me dizer para fazer o jantar!
- Vafangool!                                                                          --- - Vaffanculo.
I' ll vafangool you!                                                                  --- - Vaffanculo, tu!
She has a filthy mouth, this Guinea brat.                                             --- Sua fedelha mestiça nojenta!
That's it, break it all, you spoiled Guinea brat.                                     --- Isso! Parte tudo, mestiça mimada!
Break it all!                                                                         --- Parte tudo!
Why don't you bring your whore home for dinner?                                       --- Por que não trazes a tua puta para jantar cá em casa?
Maybe I will.                                                                         --- Talvez traga.
- Clean it up!                                                                        --- - Agora, limpa tudo!
- Like hell I will!                                                                   --- - Limpo, uma ova!
You skinny, spoiled brat.                                                             --- Limpa tudo, sua fedelha magricela.
Clean it up!                                                                          --- Limpa tudo, limpa tudo!
Clean it up!                                                                          --- Limpa tudo!
Clean it up!                                                                          --- ¡ Límpialo!
I said, clean it up!                                                                  --- ¡ He dicho que lo limpies!
Clean it up!                                                                          --- ¡ Límpialo!
Clean that up, you...                                                                 --- Limpa isso, sua... limpa!
Clean it!                                                                             --- Limpa!
Clean it up!                                                                          --- Limpa! Limpa!
Yeah, kill me.                                                                        --- Sim, vá lá, mata-me.
Be a murderer, like your father!                                                      --- Sê uma assassina como o teu pai.
- All you Corleones are murderers!                                                    --- Vá! Todos os Corleones são uns assassinos!
- I hate you!                                                                         --- - Odeio-te!
Come on, kill me!                                                                     --- - Vá lá, mata-me!
Get out of here!                                                                      --- Sai daqui!
- I hate you!                                                                         --- - Odeio-te!
- Now I' ll kill you.                                                                 --- - Vá! Agora, mato-te eu!
You Guinea brat. Get out of here!                                                     --- Sua fedelha mestiça!
Connie, what's the matter?                                                            --- Connie, que se passa?
I can't hear you.                                                                     --- Não te ouço.
Connie, talk louder.                                                                  --- Connie, fala mais alto.
The baby's crying.                                                                    --- O bebé está a chorar.
Santino, I can't understand.                                                          --- Santino, não entendo...
I don't know.                                                                         --- Não sei... não entendo.
Yeah, Connie.                                                                         --- Sim, Connie.
You wait there.                                                                       --- Ouve, espera aí.
No, you just wait there.                                                              --- Não, não, espera aí.
Son-of-a- bitch.                                                                      --- Filho da mãe!
- Son-of-a- bitch!                                                                    --- - Filho da mãe!
- What's the matter?                                                                  --- - Sonny, que se passa?
Open the goddamn gate!                                                                --- Abre o maldito do portão!
Get off your ass.                                                                     --- Levanta-te!
Sonny!                                                                                --- Sonny!
- Sonny. - Get out of here!                                                           --- - Sonny, vem cá!
Go after him, go on!                                                                  --- Vão atrás dele, vão!
Son-of-a- bitch. Come on!                                                             --- Filho da mãe!
Give me a drop.                                                                       --- Dá-me um gole.
My wife is crying upstairs.                                                           --- A minha mulher está a chorar lá em cima.
I hear cars coming to the house.                                                      --- Ouço carros a aproximarem-se de casa.
Consigliere of mine, tell your Don what everyone seems to know.                       --- Consigliere meu... acho que devias dizer ao teu Don o que todos parecem saber.
I didn't tell Mama anything.                                                          --- Não contei nada à mamã.
I was about to come up and wake you and tell you.                                     --- Ia agora lá acima acordá-lo para lhe contar.
But you needed a drink first.                                                         --- Mas, primeiro, precisavas de uma bebida.
Yeah.                                                                                 --- Sim.
Well, now you've had your drink.                                                      --- Agora, já tomaste a tua bebida.
They shot Sonny on the causeway.                                                      --- Alvejaram o Sonny na estrada.
He's dead.                                                                            --- Está morto.
I want no inquiries made.                                                             --- Não quero inquéritos.
I want no acts of vengeance.                                                          --- Não quero actos de vingança.
I want you to arrange a meeting with the heads of the five families.                  --- Quero que marques uma reunião com os chefes das 5 Famílias.
This war stops now.                                                                   --- Esta guerra tem de acabar.
Call Bonasera.                                                                        --- Chama o Bonasera.
I need him now.                                                                       --- Preciso dele agora.
This is Tom Hagen.                                                                    --- Fala Tom Hagen.
I'm calling for Vito Corleone, at his request.                                        --- Estou a telefonar a pedido de Vito Corleone.
You owe your Don a service.                                                           --- Deve um serviço ao seu Don.
He has no doubt that you will repay it.                                               --- Ele não tem dúvidas de que pagará!
He will be at your funeral parlor in one hour.                                        --- Ele estará na sua casa funerária dentro de uma hora.
Be there to greet him.                                                                --- Esteja lá para o receber.
Well, my friend, are you ready to do me this service?                                 --- Bem, meu amigo, estás pronto para prestar o teu serviço?
Yes.                                                                                  --- Sim.
What do you want me to do?                                                            --- Que deseja que eu faça?
I want you to use all your powers and all your skills.                                --- Quero que uses todas as tuas faculdades e todas as suas habilidades.
I don't want his mother to see him this way.                                          --- Não quero que a mãe o veja neste estado.
Look how they massacred my boy.                                                       --- Vê o que fizeram ao meu filho.
It's safer to teach you English!                                                      --- - Tens de aprender a falar inglês.
I know English...                                                                     --- - Eu sei falar inglês.
Monday, Tuesday, Thursday, Wednesday, Friday, Sunday, Saturday.                       --- Segunda, terça, quinta, quarta, sexta, domingo, sábado...
Greetings, Don Tommasino.                                                             --- Cumprimentos, Don Tommasino.
How are things in Palermo?                                                            --- Como vão as coisas em Palermo?
Michael is teaching me to drive... watch, I' ll show you.                             --- O Michael está-me a ensinar a conduzir.
How are things in Palermo?                                                            --- Como vão as coisas em Palermo?
Young people don't respect anything anymore... times are changing for the worse.      --- Os jovens já não têm respeito por nada. Os tempos estão a mudar e eu não sei como isto vai acabar.
This place has become too dangerous for you.                                          --- Ouve, Michale, as pessoas daqui começam a questionar-se a teu respeito e não creio que este lugar seja seguro.
I want you to move to a villa near Siracusa... right now.                             --- Eu gizei um plano. Quero que te mudes para uma casa perto de Siracusa.
What's wrong?                                                                         --- Que se passou?
Bad news from America.                                                                --- Péssimas notícias... da América.
Your brother, Santino, they killed him.                                               --- O teu irmão Santino... Assassinaram-no.
Let's go... you promised.                                                             --- Michaele, vamos. Vamos lá. Prometeste-me.
Fabrizio!                                                                             --- Fabrizio!
Get the car.                                                                          --- Prepara o carro.
Are you driving yourself, Boss?                                                       --- - É o chefe que vai a guiar? - Sim.
Is your wife coming with you?                                                         --- A sua esposa também vai consigo?
No, take her to her father's house until things are safe.                             --- Não. Quero que a leves para casa do pai, onde estará segura.
Okay, anything you say.                                                               --- Certo. Como queira.
Calo, where is Apollonia?                                                             --- Calo, onde está a Apollonia?
She's going to surprise you.                                                          --- Está no carro.
She wants to drive.                                                                   --- Quer fazer-te uma surpresa.
