Mumbai, 2006                                                                          --- Bombaim, 2006
I fed him the wrong answer, and he never should call it right.                        --- Dei-lhe uma resposta errada, ele nunca deveria ter acertado.
You gave him an answer?                                                               --- Deste-lhe uma resposta?
Not exactly.                                                                          --- Não foi bem isso.
Well that doesn't matter.                                                             --- Bem, não interessa. É o meu concurso!
That's my show!                                                                       --- É o meu concurso!
My fucking show!                                                                      --- O raio do meu concurso!
It is a bizarrely plausible, and yet...                                               --- É bizarramente plausível, no entanto...
Because I'm a slumdog, a chaiwalla, I'm a liar right?                                 --- Porque sou um slumdog, um chaiwalla, sou um mentiroso, certo?
Most of you are.                                                                      --- A maioria de vocês é.
But you are not a liar, Mr Malik.                                                     --- Mas você não é mentiroso, Mr Malik.
That's for sure.                                                                      --- Disso tenho a certeza.
You are too truthful.                                                                 --- Você é demasiado verdadeiro.
We're done.                                                                           --- Termina-mos.
I don't know where they've taken her.                                                 --- Eu não sei para onde a levaram.
Latika.                                                                               --- Latika.
I went on the show, because I thought she'd be watching.                              --- Eu fui ao concurso, porque pensei que ela o iria ver.
Jamal Malik, an uneducated 18 year old boy from the slums of Mumbay, won one draw by fair means. What a player! --- Jamal Malik, um rapaz de 18 anos e sem educação das favelas de Mumbai, está a uma pergunta de fazer história.
And the crowd around me bears an even bigger question:                                --- 
Will he be back tonight to play for another 20 million rupees?                        --- E a multidão à minha volta tem uma pergunta maior: Irá ele voltar esta noite para mais 20 milhões de rupias?
Hey give me a kiss.                                                                   --- Anda cá, dá-me um beijo.
Go girls!                                                                             --- 
Yes, I couldn't hear a thing in there.                                                --- Sim, eu não conseguia ouvir nada ali.
You've got to get us back into town.                                                  --- Tens de conseguir meter-nos outra vez na cidade.
As if it wasn't enough drama in a contestant reaching the final question,             --- Como se não fosse suficientemente dramático um participante chegar à pergunta final,
Jamal Malik was last night arrested on suspicion of fraud.                            --- Jamal Malik foi preso ontem à noite por suspeita de fraude.
That guy...                                                                           --- Aquele tipo.
Clever.                                                                               --- 
Crazy "chudge".                                                                       --- É um "chudge"(perseguidor) maluco.
Here, go.                                                                             --- Toma, vai.
But...                                                                                --- Mas... Leva o carro.
Just drive.                                                                           --- 
There won't be another chance.                                                        --- Não irá haver outra hipótese.
He will kill you.                                                                     --- Ele vai-te matar.
I'll take care of him.                                                                --- Eu trato dele.
Salim, I can't.                                                                       --- Não posso, Salim
You have to.                                                                          --- 
The code...                                                                           --- 
take well out of this.                                                                --- Estás de volta ao programa.
Evil what I've done please forgive me.                                                --- Por favor, perdoa-me por todo o mal que fiz.
Have a good life.                                                                     --- Tem uma boa vida.
You're back on the show.                                                              --- 
Come on!                                                                              --- 
Jamal?                                                                                --- Jamal?
The millionaire?                                                                      --- O milionário?
The multi-millionaire?                                                                --- O milionário?
The one with all the cash?                                                            --- O que tem todo aquele dinheiro?
Go son, go with my blessing and win it all.                                           --- Vai meu filho, vai com a minha bênção e ganha tudo.
We love you Jamal!                                                                    --- Nós adoramos-te, Jamal!
The nation's gripped with millionaire fever.                                          --- Onde está toda a gente?
As Jamal Malik, an uneducated boy from the Juhu slum in Mumbay, won a staggering 10 million rupee on a television show "Who wants to be a millionaire", and estimated 90 million people watching us tonight to see if he will make a one stage further to 20 million rupees. --- A nação foi contagiada com uma febre milionária quando Jamal Malik, um jovem sem educação da favela de juhu em Bombaím, ganhou uns impressionantes 10 Milhões de rupias no concurso de televisão "Quem Quer Ser Milionário".
Where is everyone?                                                                    --- Onde está toda a gente?
Get back in there!                                                                    --- Voltem para aqui!
Get back to work!                                                                     --- Voltem ao trabalho!
Chaiwalla?                                                                            --- Chaiwalla?
Welcome back to "Who wants to be a millionaire".                                      --- Bem-vindos de volta ao "Quem Quer Ser Milionário".
I can safetly say that tonight is the biggest night of both our lives.                --- Posso dizer com segurança que hoje é a maior noite das nossas vidas.
Jamal Malik, the call assistant worker from Mumbay, has already won 10 million.       --- Jamal Malik, o assistente de telefonista de Bombaím, já ganhou 10 milhões.
He can walk away with that in his pocket or make the biggest gamble in television history. --- Ele pode se ir embora com esse dinheiro ou pode fazer a maior aposta na história da televisão.
to go for the final question and a staggering 20 million rupees.                      --- Ir para a pergunta final e uns impressionantes 20 milhões de rupias.
Are you ready for that question?                                                      --- Estás preparado para esta questão?
Yes.                                                                                  --- Sim.
- Jamal!                                                                              --- - Jamal!
Big reader you, Jamal?                                                                --- Lês muito, Jamal?
I can read.                                                                           --- Eu sei ler.
Lucky.                                                                                --- Tens sorte.
In Alexandre Dumas' book, the "The Three Musketeers", two of the musketeers are called Athos and Porthos. --- No livro de Alexandre Dumas, "Os Três Mosqueteiros", dois dos mosqueteiros chamam-se Athos e Porthos.
What was the name of the third Musketeer?                                             --- Qual o nome do terceiro mosqueteiro?
A: Aramis                                                                             --- A: Aramis
B: Cardinal Richelieu                                                                 --- B: Cardeal Richelieu
C: D'Artagnan D: Planchet                                                             --- C: D'Artagnan
She could be the third musketeer.                                                     --- Ela poderia ser o terceiro mosqueteiro.
Final question for 20 million rupees, and he is smiling.                              --- A última questão para 20 milhões de rupias, e ele sorri.
I guess you know the answer.                                                          --- Você deve saber a resposta.
Do you believe it, I don't.                                                           --- É incrível, mas não sei.
You don't?                                                                            --- Não sabe?
So you take the 10 million and walk?                                                  --- Então leva os 10 milhões e vai-se embora? Não.
No.                                                                                   --- Não.
I'll play.                                                                            --- 
Let remind you, Jamal.                                                                --- Deixa que te lembre, Jamal.
If you get the answer wrong, you lose everything.                                     --- Se errares a resposta, perdes tudo.
10 million rupees, Jamal.                                                             --- 10 milhões de rupias, Jamal.
It's a fortune.                                                                       --- É uma fortuna.
I'd like to phone a friend.                                                           --- Gostava de telefonar a um amigo.
You're going to the wire.                                                             --- Vamos fazer a ligação.
The final lifeline.                                                                   --- Está a tocar!
Here we go.                                                                           --- Aqui vamos nós.
It's ringing!                                                                         --- 
Who is it?                                                                            --- Quem é?
That's my brother's number, but...                                                    --- É o número do meu irmão, mas...
The kind of brother, who go for a walk on a 20 million rupee question?                --- Que tipo de irmão é que vai dar uma volta numa pergunta de 20 milhões de rupias?
It's the only number I know.                                                          --- É o único número que conheço.
You are on your own, Jamal.                                                           --- Estás por ti próprio, Jamal.
Hello?                                                                                --- Olá?
Hello, Jamal?                                                                         --- Olá, Jamal?
I'm guessing that isn't your brother.                                                 --- Acho que não é o teu irmão.
This is...                                                                            --- Esta é...
My name is Latika.                                                                    --- O meu nome é Latika.
Okay, Latika.                                                                         --- Ok, Latika.
You want to hear the question one more time?                                          --- Quer ouvir a pergunta outra vez?
And let's be clear about this.                                                        --- E vamos ser claros sobre isto.
20 million rupees right on your answer, you have 30 seconds.                          --- 20 milhões de rupias recaem sobre a sua resposta, têm 30 segundos.
Jamal, please read out the question to Latika now.                                    --- Jamal, por favor leia a pergunta à Latika, agora.
It is really you?                                                                     --- - És mesmo tu?
- Yes.                                                                                --- - Sim.
The question, Jamal.                                                                  --- A pergunta, Jamal.
The question!                                                                         --- A pergunta!
In Alexandre Dumas' book, the "The Three Musketeers", two of the musketeers are called Athos and Porthos. --- No livro de Alexandre Dumas, "Os Três Mosqueteiros", dois dos mosqueteiros chamam-se Athos e Porthos.
What was the name of the third Musketeer?                                             --- Qual o nome do terceiro mosqueteiro?
Was it A: Aramis, B: Cardinal Richelieu, C: D'Artagnan or D: Planchet?                --- Era A: Aramis, B: Cardeal Richelieu, C: D'Artagnan ou D: Planchet?
15 seconds!                                                                           --- 15 segundos!
Where are you?                                                                        --- Onde estás?
I am safe.                                                                            --- Estou em segurança.
10 seconds!                                                                           --- 10 segundos!
Latika, what do you think?                                                            --- Que acha, Latika?
I don't know.                                                                         --- Eu não sei.
I've never known.                                                                     --- Nunca soube.
Jamal, God bless...                                                                   --- Jamal, será que esse dinheiro...
You really are on your own now, Jamal.                                                --- Agora estás mesmo por ti próprio, Jamal.
Your final answer for 20 million rupees.                                              --- A sua resposta final para 20 milhões de rupias.
A.                                                                                    --- A.
A, because?                                                                           --- A, porquê?
Just...                                                                               --- Só...
because.                                                                              --- porque sim.
Hey, Salim!                                                                           --- Hey, Salim!
Final answer?                                                                         --- É a resposta final?
Yes, final answer.                                                                    --- Sim, é a resposta final. A, Aramis.
A, Aramis.                                                                            --- A, Aramis.
Computer, please check answer A.                                                      --- Computador, bloqueia a resposta A.
Jamal Malik, call center assistant from Mumbay, chaiwalla, for two draws 20 million rupees you were asked who the third musketeer was in a novel by Alexander Dumas. --- Jamal Malik, o assistente de call-center de Bombaím, chaiwalla, por duas vezes e por um valor de 20 milhões de rupias foi-lhe perguntado quem era o terceiro mosqueteiro no romance de Alexandre Dumas.
You answered A, Aramis.                                                               --- A sua resposta foi a A, Aramis. Que está...
Which is.                                                                             --- Deus é grande.
I have to tell you.                                                                   --- Tenho de te dizer...
The right answer!                                                                     --- A resposta certa!
Jamal Malik!                                                                          --- Jamal Malik!
God is great.                                                                         --- Deus é grande.
What a night!                                                                         --- Que noite!
I knew you'd be watching.                                                             --- Eu sabia que irias ver.
I thought we'd be together only in death.                                             --- Pensei que só estaríamos juntos depois de morrermos.
This is our destiny.                                                                  --- Este é o nosso destino.
Kiss me.                                                                              --- 
D: it is written                                                                      --- D: Está escrito REALIZAÇÃO ARGUMENTO PRODUÇÃO
Brought to you by: 8samurai, alexvel, katpyxa, MinimalBoy, reasonspace.               --- Pensei que só estaríamos juntos depois de morrermos.

