How you doing, Keaton?                                                                --- Como estás, Keaton?
Better you hear it from me now than from somebody else later.                         --- É melhor saberes de mim agora do que de outra pessoa mais tarde.
I appreciate that.                                                                    --- Aprecio isso.
But just out of curiosity... was it business or personal?                             --- Apenas por curiosidade... foi por negócios ou pessoal?
A bit of both.                                                                        --- 
Like I said... you give me a call if you're interested.                               --- Bem, como disse, liguem-me se estiverem interessados.
Is there a problem?                                                                   --- Há algum problema?
One job.                                                                              --- 
That was the deal.                                                                    --- Era esse o acordo.
One job?                                                                              --- Um serviço?
One job?                                                                              --- Um serviço!
That's a good one.                                                                    --- Essa foi boa, Keaton.
Keaton fought it as best he could, but a man can't change what he is.                 --- O Keaton tentou o máximo que pôde, mas um homem não pode mudar o que é.
He can convince anyone he's someone else, but never himself.                          --- Pode convencer qualquer um, excepto a si próprio, que é outra pessoa.
It took one day with McManus nagging, and we went back to work.                       --- Tirámos um dia de folga com o McManus e depois voltámos ao trabalho.
I get out of my car, and the thing is wrecked.                                        --- Dá-me a mala! Dá-me a merda da mala!
I look in the backseat of the other car, and this woman's totally naked.              --- Tirámos um dia de folga com o McManus e depois voltámos ao trabalho.
-I'm laughin' so hard I can't breathe.                                                --- 
-Get in the car, Saul.                                                                --- Dá-me a mala!
-Freeze, motherfucker!                                                                --- Dá-me a mala!
-Stay right there!                                                                    --- Dá-me a mala!
There's a second one here, somewhere.                                                 --- 
Gimme the case.                                                                       --- Dá-me a merda da mala!
Give me the fuckin' case!                                                             --- Dá-me a merda da mala!
Give me the fuckin' case.                                                             --- Vou-te pedir pela última vez...
I'm tellin' you for the last time.                                                    --- Dá-me a puta da mala!
Give me the fuckin' case!                                                             --- Dá-me a puta da mala!
-Come on!                                                                             --- Dá-me a puta da mala!
-Don't move!                                                                          --- Dá-me a puta da mala!
Hand over the case.                                                                   --- Agora larga a mala!
Hand over the fuckin' case.                                                           --- Larga a merda da mala!
Come on, let's go!                                                                    --- 
-Come on!                                                                             --- Péssimo dia.
-Bad day.                                                                             --- Foda-se.
Fuck it.                                                                              --- Foda-se.
Let's go!                                                                             --- 
Fuck.                                                                                 --- 
-Looks like a lot of china to me.                                                     --- 
-Shit.                                                                                --- Merda.
Guys, come on.                                                                        --- Vamos.
-What are you doin'?                                                                  --- - Que achas que estou a fazer?
-I'm gonna kill him.                                                                  --- Olha, fizemos as coisas à tua maneira.
We did it your way, now we'll do it mine.                                             --- 
-You gonna kill him?                                                                  --- - Vou acertar contas com ele.
-I'll deal with him.                                                                  --- É melhor acertares contas com ele.
-You'd better, or I'm gonna.                                                          --- É melhor acertares contas com ele.
-Shut up.                                                                             --- Cala a boca.
What am I supposed to do with that?                                                   --- O que devo fazer com isto?
Feed it to the gimp.                                                                  --- Dá-o ao aleijado.
Ease his pain.                                                                        --- 
I don't know what that is.                                                            --- - O que queres dizer com "não sabes"?
-What do you mean?                                                                    --- Não sei o que é isso.
-I don't know.                                                                        --- Eu não sei.
I got thrown this job by some lawyer.                                                 --- Quem me indicou este serviço foi um advogado. Sim, quem?
Who?                                                                                  --- Não sei.
I don't know.                                                                         --- Um inglês.
Some limey.                                                                           --- É o intermediário de alguém.
He's a middleman for somebody.                                                        --- É o intermediário de alguém.
He doesn't say, I don't ask.                                                          --- Não me diz e eu não pergunto.
-You're fuckin' full of shit!                                                         --- É o intermediário de alguém.
-Fuck you. -Fuck you.                                                                 --- 
-Listen to me.                                                                        --- 
We wanna meet him, okay?                                                              --- Nós vamos ter com ele.
That's funny. He called me last night.                                                --- Ele ligou-me ontem a noite ...e disse que quer encontrar-se com vocês.
He says he wants to meet you guys.                                                    --- Ok. Nós vamos ter com ele.
Okay, we'll meet him.                                                                 --- Nós vamos ter com ele.
-I'll call you.                                                                       --- Não há problema.
-Good.                                                                                --- 
Let's go. I don't like it.                                                            --- Mais uma coisa.
Wait a minute. One more thing, tough guy:                                             --- Mais uma coisa.
Any more surprises, and I'm gonna kill you.                                           --- Mais surpresas e mato-te.
You're such a tough guy.                                                              --- Mas faz-me um favor, ok?
But do me a favor, all right?                                                         --- Mas faz-me um favor, ok?
Get the fuck off my dick.                                                             --- 
No!                                                                                   --- Segura essa fera.
Put a leash on that puppy.                                                            --- Segura essa fera.
It's an awful shame about Saul gettin' whacked.                                       --- É uma pena o Saul ter sido assassinado.
Cops'll be lookin' for the guys who did it.                                           --- A polícia vai andar à procura dos gajos que fizeram isto.
Sooner or later, they're gonna come around askin' me.                                 --- Mais cedo ou mais tarde virão falar comigo.
You have a sweet night, ladies.                                                       --- Tenham uma boa noite, senhoras.
Fuck you.                                                                             --- 
-So this lawyer-- -Kobayashi.                                                         --- - Então, esse advogado...
-Came from Redfoot.                                                                   --- veio do Redfoot.
-Right.                                                                               --- 
And why leave this out when you talked to the DA?                                     --- E porque deixaste isso de fora quando falaste com o Ministério Público?
Dave, someone to see you.                                                             --- Está aqui alguém que te quer ver.
I've been looking all over for you.                                                   --- - Procurei-te por toda a parte.
You still after that coke that took a walk out of that bloodbath yesterday?           --- Tu ainda andas atrás da cocaína que gerou o massacre de ontem na baía?
You can stop looking.                                                                 --- - Podes parar de procurar.
There was no coke.                                                                    --- Não era coca.
I've been in LA County talking to a guy they pulled out of a drainpipe... yesterday after the shootout. --- Estive no condado de L.A. e falei com um tipo que tiraram ...dum cano de drenagem em San Pedro ontem depois do tiroteio.
He came to this morning, he started talking.                                          --- Esta manhã começou a falar.
He's part of a Hungarian mob.                                                         --- - Podes parar de procurar.
They dealt with gwats from Argentina.                                                 --- 
He says it was definitely not a dope deal.                                            --- 
-But there were-- -We know.                                                           --- O nosso homem diz que de maneira nenhuma era droga.
But he says no on the dope.                                                           --- Este húngaro diz que estavam todos de partida para a Turquia no dia seguinte.
This Hungarian tells me they were pulling stumps for Turkey the next day.             --- Este húngaro diz que estavam todos de partida para a Turquia no dia seguinte.
They had no time for that kind of product, and no means to move it.                   --- Não tinham tempo para negociar esse tipo de produto nem forma de o transportar.
-What's the money for?                                                                --- - Para que era o dinheiro?
-He didn't know.                                                                      --- - Ele não sabe.
No one doing the deal knew except for a few key people.                               --- Ninguém no negócio sabia, excepto algumas pessoas chave.
They were all very hush about it, he says.                                            --- O que quer que seja, é muito sensível.
-Whatever it was, it was very sensitive.                                              --- O que quer que seja, é muito sensível.
-I don't get it.                                                                      --- Não estou a entender.
You got the cripple in there from New York?                                           --- Disseram-me que estás com o aleijado de Nova lorque.
Did he mention Keyser Soze?                                                           --- Ele falou do Keyser Soze?
Who?                                                                                  --- Segue o meu raciocínio, neste assunto.
Just bear with me here.                                                               --- Segue o meu raciocínio, neste assunto.
-Who's Keyser Soze?                                                                   --- Ele falou do Keyser Soze?
-Fuck!                                                                                --- 
We've been goin' over this for an hour and a half.                                    --- Nós estamos nisto há uma hora e meia.
What we need to do is find Redfoot and get the hell out of here now.                  --- O que temos de fazer é encontrar o Redfoot e sair daqui imediatamente.
What we need to do is think.                                                          --- O que temos de fazer é pensar.
Think back.                                                                           --- 
Somebody with power... somebody capable of tracking us from New York to LA.           --- Alguém... com poder. Alguém capaz de nos levar desde Nova lorque até Los Angeles.
-What the hell are we doing here?                                                     --- Que diabos estamos a fazer aqui?
-We're waiting.                                                                       --- - Acalma-te.
-Sit down.                                                                            --- - Senta-te.
-No.                                                                                  --- 
I'm hot, and I'm fuckin' bored.                                                       --- 
Mr. Hockney, do stay.                                                                 --- - Sr. Hockney, fique!
Mr. Keaton. Mr. Fenster I recognize from his mug shots... as well as Mr. McManus.     --- Keaton ...Sr. Fenster eu conheço-o pelas fotos da prisão, assim como o Sr. McManus.
I can only assume that you are Mr. Kint, the gentleman who disposed of Saul Berg.     --- E presumo que você é o Sr. Kint, o cavalheiro que acabou com o Saul Berg.
My employer sends his gratitude, a most unexpected benefit.                           --- O meu patrão pediu-me que vos trouxesse uma proposta, ...cavalheiros.
I am Mr. Kobayashi.                                                                   --- Sou o Sr. Kobayashi.
I have been asked by my employer to bring a proposal to you gentlemen.                --- O meu patrão pediu-me que vos trouxesse uma proposta, ...cavalheiros.
-What do you want?                                                                    --- - O que queres?
-My employer requires your services.                                                  --- - O meu patrão pede os vossos serviços.
One job, one day's work.                                                              --- Um dia de trabalho.
Very dangerous.                                                                       --- Ele não espera que sobrevivam todos.
He does not expect all of you to live.                                                --- Mas aqueles que sobreviverem... terão 91 milhões de dólares para dividirem...
But those of you who do... will have $91 million to divide between you in any way you see fit. --- Mas aqueles que sobreviverem... terão 91 milhões de dólares para dividirem...
Who's your boss?                                                                      --- 
I work for Keyser Soze.                                                               --- Eu trabalho para Keyser Soze.
Who's Keyser Soze?                                                                    --- Eu trabalho para Keyser Soze.
Judging by the sudden change in mood... I feel sure the rest of your associates can tell you. --- - Pela mudança súbita de humor, Mr. Kint... tenho certeza que o resto dos seus sócios lhe podem contar.
I come with an offer directly from Mr. Soze.                                          --- Trago uma oferta directamente do Sr. Soze.
-An order, actually.                                                                  --- O que queres dizer com, "uma ordem"?
-What do you mean, "an order"?                                                        --- O que queres dizer com, "uma ordem"?
In 1981, you participated in the hijacking of a truck in Buffalo, New York.           --- Em 1981, Sr. Keaton,... você participou no roubo dum camião em Buffálo, New York.
The cargo was raw steel, steel which belonged to Mr. Soze... and which was destined for Pakistan to be used in a nuclear reactor. --- Aço que pertencia ao Sr. Soze... que estava destinado ao Paquistão, para ser usado num reactor nuclear.
A most profitable violation of UN Regulations.                                        --- A violação mais lucrativa dos regulamentos das Nações Unidas.
You had no way of knowing this... because the fellow shipping the steel was working for Soze... without his knowledge. --- Você não sabia, Sr. Keaton ...porque o homem que entregava o aço trabalhava para o Mr. Soze ...sem saber.
Earlier this year, Mr. Fenster and Mr. McManus... hijacked a two-prop cargo flight out of Newark airport. --- No início deste ano... O Sr. Fenster e o Sr. McManus roubaram a carga de um avião no aeroporto de Newark.
The plane was carrying gold and platinum wiring also set for Pakistan.                --- Elas iam-se "perder" numa estação de pesagem e seriam desviadas para Belfast.
Two months ago, Mr. Hockney stole a truck... carrying gun parts through Queens. Gun parts which were set to be destroyed by the state of New York. --- Há dois meses atrás, o Sr. Hockney roubou um camião carregado de armas ...em Queens ...armas que deveriam ser destruídas pelo Estado de Nova lorque.
They were to be lost in a way station and rerouted to Belfast.                        --- Elas iam-se "perder" numa estação de pesagem e seriam desviadas para Belfast.
Again, Mr. Soze using pawns who had no knowledge.                                     --- Novamente, o Sr. Soze usou peões que não sabiam.
Which brings us to Mr. Kint.                                                          --- O que nos leva ao Sr. Kint.
Nine months ago, one of Mr. Soze's... less than intelligent couriers was taken in a complicated confidence scam... by a cripple. --- Há 9 meses atrás... um dos empregados menos inteligentes do Sr. Soze ...envolveu-se num escândalo de informações confidenciais... devido um aleijado.
He was relieved of $62,000.                                                           --- 
Now, it has taken us some time to find you.                                           --- Bom, demorou-nos algum tempo a encontrá-los.
Our intention was to approach you after your apprehension in New York.                --- A nossa intenção era aproximá-los com a vossa detenção em Nova lorque.
You set up the lineup.                                                                --- Bom, demorou-nos algum tempo a encontrá-los.
Yes.                                                                                  --- Sim.
You were not to be released until I had come to see you.                              --- Vocês não deviam ter sido libertados até que eu fosse vê-los.
It seems Mr. Keaton's attorney, Miss Finneran... was a little too effective in expediting his release. --- Parece que a advogada do Sr. Keaton, a Sra. Finneran... foi demasiado eficiente ao conseguir-lhe a libertação.
Holding the rest of you became a moot point.                                          --- Tu montaste a sala de suspeitos...
-What about Redfoot?                                                                  --- - E o Redfoot?
-Mr. Redfoot knew nothing.                                                            --- - E o Redfoot?
Mr. Soze rarely works with the same people for long... and they never know who they're working for. --- O Sr. Soze raramente trabalha com o mesmo pessoal... por muito tempo, e eles nunca sabem para quem estão a trabalhar.
One cannot be betrayed if one has no people.                                          --- Uma pessoa não pode ser traída, se não tiver quem o traia.
So, why are you telling us?                                                           --- porque nos está a contar isto?
Because you have stolen from Mr. Soze, Mr. Fenster.                                   --- Porque vocês roubaram o Sr. Soze, Mr. Fenster.
All of you. That you did not know it is the only reason you're still alive.           --- Todos vós.
He feels you owe him.                                                                 --- Ele sente que vocês têm uma dívida para com ele.
You will repay your debt.                                                             --- E irão pagar essa dívida.
Fuck the debt, and fuck you.                                                          --- Pois, foda-se a dívida!
How do we know you work for Soze?                                                     --- Como podemos ter a certeza que você trabalha para o Soze?
I don't think that is very relevant.                                                  --- Não acho que isso seja muito relevante, Sr. Hockney.
All five of you are responsible for the murder of Saul Berg... and his bodyguards.    --- Todos são responsáveis pelo assassinato do Saul Berg e dos seus guarda-costas.
Mr. Redfoot can testify to your involvement. We can see to it that he will.           --- O Sr. Redfoot pode testemunhar o vosso envolvimento, e podemos certificar-nos que o faça.
-What's your point?                                                                   --- 
-The offer is this, gentlemen:                                                        --- - A oferta é esta, cavalheiros.
Mr. Soze's primary interest... is narcotics.                                          --- O principal interesse do Sr. Soze ...é em narcóticos.
He has been competing, shall we say... with a group of Argentineans for several years. --- Ele tem "competido", digamos assim, com um grupo de argentinos ...durante vários anos.
Competing with Mr. Soze has taken its toll.                                           --- A competição com o Sr. Soze chegou ao fim.
These Argentineans are negotiating the sale... of $91 million in cocaine in three days time. --- Esses argentinos vão negociar a venda... de 91 milhões em cocaína daqui a 3 dias.
Needless to say, this purchase will revitalize... the diminishing strength of their organization. --- Não é preciso dizer que esta compra vai revitalizar ...a pouca força da organização deles.
Mr. Soze would like you to stop the deal.                                             --- O Sr. Soze gostaria que vocês impedissem esta negociação.
If you choose, you may wait until after the buy.                                      --- Se vocês quiserem, podem intervir depois da compra.
Whatever money changes hands is yours.                                                --- Qualquer dinheiro que estiver envolvido é vosso.
Mr. Soze would like you to get to the boat and destroy the cocaine onboard.           --- O Sr. Soze gostaria que vocês entrassem no barco e destruíssem a cocaína a bordo.
And then you will be free of your obligations to Mr. Soze.                            --- E, dessa forma, ficarão livres das vossas obrigações para com o Sr. Soze.
Give me one good reason why I shouldn't kill you right now.                           --- Dê-me uma boa razão para não o matar imediatamente.
A gift from Mr. Soze.                                                                 --- Um presente... do Sr. Soze.
Good day, gentlemen.                                                                  --- Bom dia, cavalheiros.
They got my whole life in here, everything I've done since I was 18.                  --- E, dessa forma, ficarão livres das vossas obrigações para com o Sr. Soze.
They fuckin' know everything.                                                         --- Merda, eles sabem tudo!
Everybody I've ever worked with or did time with.                                     --- Toda a gente com quem trabalhei ou com quem cumpri pena.
No.                                                                                   --- - Não...
-This isn't right.                                                                    --- - Eu não sei.
-I don't know.                                                                        --- - Não...
Who's that guy who used to talk about Soze in New York?                               --- Quem era aquele tipo que costumava falar sobre o Soze em Nova lorque?
-Bricks Marlin.                                                                       --- Bricks Marlin.
-He did jobs for him, indirect stuff.                                                 --- Sim, ele fazia-lhe serviços.
He said he always made five times more money on it than the job was worth.            --- 
This guy's a pipe dream.                                                              --- 
Kobayashi's using him for window dressing.                                            --- O Kobayashi está a usá-lo como disfarce.
I don't know.                                                                         --- Isto é mau.
This is bad.                                                                          --- É treta!
It's bullshit.                                                                        --- 
This guy could be LAPD. It's a fuckin' setup.                                         --- Este gajo pode ser da polícia de L.A...
The way I hear it, Soze's some kind of butcher.                                       --- é do tipo carniceiro. Um psicopata sem medo...
-A peerless, psycho, fucked-up butcher.                                               --- Um carniceiro fodido. O Keyser Soze não existe!
-There is no Keyser Soze!                                                             --- O Keyser Soze não existe!
Who is Keyser Soze?                                                                   --- Quem é o Keyser Soze?
He's supposed to be Turkish.                                                          --- Alguns dizem que o pai dele é alemão.
Some say his father was German.                                                       --- Nunca ninguém acreditou que ele fosse real.
Nobody ever believed he was real.                                                     --- Nunca ninguém acreditou que ele fosse real.
Nobody knew him or saw anybody that ever worked directly for him. To hear Kobayashi tell it, anybody could have worked for Soze. --- Nunca ninguém o conheceu ou viu alguém que tenha trabalhado directamente para ele... mas pelo que o Kobayashi disse, qualquer um pode ter trabalhado para o Soze.
You never knew.                                                                       --- Esse é o seu poder.
That was his power.                                                                   --- Esse é o seu poder.
The greatest trick the Devil ever pulled... was convincing the world he didn't exist. --- O maior truque do demónio... foi convencer o mundo que ele não existe.
One story the guys told me, the story I believe... was from his days in Turkey.       --- Uma das histórias que eles me contaram, - a história que eu acredito...  é dos dias dele na Turquia.
There was a gang of Hungarians that wanted their own mob.                             --- Havia um grupo de húngaros que queriam ter a sua própria máfia.
They realized that to be in power, you didn't need guns... or money or even numbers.  --- Compreenderam que para estarem no poder... não precisavam de armas, ou de dinheiro, ou de números.
You just needed the will to do what the other guy wouldn't.                           --- Só precisavam da coragem de fazer o que os outros não fazem.
After a while they come into power, and then they come after Soze.                    --- Depois de estarem uns tempos no poder foram atrás do Soze.
He was small-time then. Just running dope, they say.                                  --- Ele era um pequeno peixe na época, tinha apenas negócios com drogas.
They come to his home... in the afternoon looking for his business.                   --- Foram a casa dele... durante a tarde... atrás do negócio dele.
They find his wife and kids in the house, and decide to wait for Soze.                --- Ele chegou a casa ...e encontrou a esposa violada e as crianças a chorar.
He comes home to find his wife raped and children screaming.                          --- Ele chegou a casa ...e encontrou a esposa violada e as crianças a chorar.
The Hungarians knew Soze was tough, not to be trifled with.                           --- Não era gajo para se brincar. Então fizeram saber que queriam o negócio dele.
They let him know they meant business.                                                --- Então fizeram saber que queriam o negócio dele.
No!                                                                                   --- 
They tell him they want his territory, all his business.                              --- Disseram-lhe que queriam o território dele, e todo o seu negócio.
Soze looks over the faces of his family.                                              --- O Soze olhou para a sua família...
Then he showed these men of will what will really was.                                --- E então mostrou a esses homens de sangue frio, o que era ter sangue frio a sério.
He tells them he would rather see his family dead... than live another day after this. --- Disse que preferia ver a família morta ...do que viver outro dia depois daquilo.
He lets the last Hungarian go... waits until his family is in the ground, and goes after the rest of the mob. --- E então mostrou a esses homens de sangue frio, o que era ter sangue frio a sério.
He kills their kids, he kills their wives... he kills their parents and their friends. --- Matou-lhes os filhos, matou-lhes as esposas, matou-lhes os pais... e os pais dos amigos.
He burns down the houses they live in... and the stores they work in.                 --- Queimou-lhes as casas onde moravam... e as lojas onde trabalhavam.
He kills people that owe them money.                                                  --- Matou as pessoas que lhe deviam dinheiro.
And like that... he's gone, underground.                                              --- 
Nobody's ever seen him since.                                                         --- 
He becomes a myth.                                                                    --- Tornou-se um mito.
A spook story that criminals tell their kids at night.                                --- Uma história assombrada que os criminosos contam aos filhos à noite.
"Rat on your pop, and Keyser Soze will get you."                                      --- "Se traíres o teu colega, o Keyser Soze apanha-te."
No one ever really believes.                                                          --- Nunca ninguém acreditou realmente.
Do you believe in him?                                                                --- Tu acreditas nele, Verbal?
Keaton always said: "I don't believe in God, but I'm afraid of him." I believe in God. --- O Keaton dizia: "Eu não acredito em Deus, mas tenho medo dele."  Bem, eu acredito em Deus.
And the only thing that scares me is Keyser Soze.                                     --- E a única coisa que me assusta é o Keyser Soze.
You give any weight to this?                                                          --- Tens alguma prova disto?
I can introduce you to Dan Metzheiser from Justice.                                   --- Posso apresentar-te a Dan Metzheiser da Justiça.
He's got a file on Soze in DC.                                                        --- Ele tem um dossier sobre o Soze em D.C..
It's been a hobby of his for a while.                                                 --- É um hobby dele há alguns anos.
A lot of guys equate him to that reporter on The Incredible Hulk.                     --- Muita gente compara-o com aquele repórter do Incrível Hulk.
You've heard of him?                                                                  --- - Já ouviste falar dele?
Where?                                                                                --- 
On the street?                                                                        --- Algumas vezes.
A few times.                                                                          --- Mas por alto.
You know, outside stuff.                                                              --- 
Someone working for a guy who worked for a guy who got money from Soze.               --- Alguém que trabalha para um gajo que trabalha para outro tipo... que ganhou algum dinheiro com o Keyser Soze.
Shit like that.                                                                       --- Pode ser alguém com um distintivo.
It could be an old badge.                                                             --- Pode ser alguém com um distintivo.
A hex sign. Keep people from fucking with you when a name meant something.            --- Um sinal para que as pessoas não brinquem contigo... como nos tempos em que um nome significava algo.
-But you're here.                                                                     --- Estou.
-Shit, yeah.                                                                          --- 
This guy's trying to walk out of a hospital because he's so afraid of Soze.           --- E há um tipo que quer sair do hospital, mesmo todo queimado... porque está com medo do Soze.
I'll run it up the flagpole.                                                          --- Eu safei-me. Eu contei-lhes o que aconteceu no barco.
I came clean.                                                                         --- 
I told it like it happened.                                                           --- E qual é o problema de ter omitido a maneira como cheguei lá?
So what about how I got there?                                                        --- Há tantos buracos que o Ministério Público não me teria concedido a imunidade.
It's so full of holes, the DA would've told me to forget amnesty.                     --- Há tantos buracos que o Ministério Público não me teria concedido a imunidade.
You got what you wanted out of me.                                                    --- Mas você já tem o que queria de mim, que merda...
Big deal.                                                                             --- 
-That's why you never told the DA?                                                    --- 
-You tell me. If I told you the Loch Ness monster hired me, what would you say?       --- Bem, diga-me você, agente Kujan...
Turn state's evidence.                                                                --- Se fores depor, nós damos-te protecção.
We'll put you on the stand.                                                           --- Eu tenho imunidade.
I've got immunity.                                                                    --- O que mais me pode oferecer?
What can you possibly offer me?                                                       --- De onde acha que vem a pressão?
If there really is a Keyser Soze, he's gonna come lookin' for you.                    --- Se realmente há um Keyser Soze, ele virá procurar-te.
Where's your head?                                                                    --- De onde acha que vem a pressão?
Where do you think the pressure is?                                                   --- De onde acha que vem a pressão?
Keyser Soze, or whatever you call him, knows where I am right now.                    --- O Keyser Soze, ou seja lá como você queira chamá-lo... sabe onde eu estou neste preciso momento.
He has the burner on your ass to let me go so he can scoop me up 10 minutes later.    --- É ele que está a forçar a minha libertação ...para me poder apanhar 10 minutos depois.
Immunity was just a deal with you assholes.                                           --- Eu tenho outro problema quando for libertado.
I got a new problem when I post bail.                                                 --- Eu tenho outro problema quando for libertado.
Why play into his hands?                                                              --- Então porquê deixá-lo apanhar-te?
We can protect you.                                                                   --- Oh, a sério, obrigado Dave.
Thanks, Dave.                                                                         --- Oh, a sério, obrigado Dave.
Bang-up job so far.                                                                   --- 
Extortion, coercion. Pardon me if I ask you to kiss my pucker.                        --- Os mesmos sacanas que criaram isto e lançaram a confusão ...querem agora safar-me?
The same fuckers that rounded us up are now bailing me out?                           --- Os mesmos sacanas que criaram isto e lançaram a confusão ...querem agora safar-me?
Fuck you.                                                                             --- 
You think you can catch Keyser Soze?                                                  --- Acha que pode apanhar o Keyser Soze?
You think a guy like that comes this close to getting caught... and sticks his head out? --- Acha que um gajo como ele se vai arriscar a ser preso... para depois desaparecer?
If he comes up for anything, it'll be to get rid of me.                               --- Se ele aparecer para alguma coisa, vai ser para se livrar de mim.
After that... my guess is you'll never hear from him again.                           --- E depois disto... na minha opinião, nunca mais vai ouvir falar dele.
What happened next?                                                                   --- O que aconteceu depois?
We woke up the next morning and Fenster was gone.                                     --- Nós acordamos na manhã seguinte e o Fenster tinha partido.
He couldn't handle the idea of slumming for Soze.                                     --- Ele não gostou da ideia de trabalhar para o Soze.
He left us a note wishing us good luck... and took a chunk of the money we'd scraped together. --- Deixou-nos um recado a desejar-nos boa sorte... e levou uma parte do dinheiro que nós ganhámos.
Then what?                                                                            --- O McManus ficou furioso.
McManus was furious.                                                                  --- O McManus ficou furioso.
He talked about tracking him down and ripping his heart out.                          --- Disse que ia procurá-lo e arrancar-lhe o coração... e esse tipo de merdas.
All sorts of shit.                                                                    --- 
That night, we got the call.                                                          --- Naquela noite recebemos um telefonema.
What call?                                                                            --- 
Kobayashi told us where we could find Fenster.                                        --- O Kobayashi disse-nos onde podíamos encontrar o Fenster.
Let's get the fuck out of here.                                                       --- 
We gotta bury him.                                                                    --- Com o quê?
With what?                                                                            --- Com as mãos.
With our hands.                                                                       --- Com as mãos.
This is nuts.                                                                         --- Isto é areia seca, McManus.
It's dry fucking sand.                                                                --- Isto é areia seca, McManus.
When he rots the surfers are gonna smell him a mile away.                             --- Quando ele apodrecer... os surfistas vão sentir o cheiro dele a uma milha de distância.
-Dig, you fuck.                                                                       --- Ei, o que vamos fazer?
-What are we gonna do?                                                                --- Este gajo vai matar-nos.
This fuckin' guy is gonna kill us.                                                    --- Se fugires, não vou cavar outro buraco para ti.
I don't know about you, peg leg, but I can run.                                       --- Não tenho problemas com isso.
I got no problem with that.                                                           --- Não tenho problemas com isso.
Kobayashi doesn't seem to have a problem with it either.                              --- Parece que o Kobayashi também não tem problemas com isso.
You run, and we're gonna be diggin' a hole for you.                                   --- Se fugires, não vou cavar outro buraco para ti.
You got that?                                                                         --- 
This ain't my boy we're burying.                                                      --- Não é o meu filho que estamos a enterrar.
I don't owe anybody!                                                                  --- Não devo nada a ninguém!
-So fuck you.                                                                         --- 
-He was my partner for five years.                                                    --- Ele foi o meu parceiro por 5 anos.
We did more jobs and I saw more money than you can ever count.                        --- Nós fizemos mais serviços e vimos mais dinheiro do que alguma vez poderás contar.
So fuck you!                                                                          --- 
-'Cause now it's payback!                                                             --- Não se trata de vingança.
-It's not payback!                                                                    --- Não se trata de vingança.
It's precaution.                                                                      --- É precaução, tu queres vingança?
You want payback?                                                                     --- Não me importa.
You wanna run?                                                                        --- Não me importa.
I don't care.                                                                         --- Não me importa.
I'm not doin' this for Fenster.                                                       --- Não vou fazer isto pelo Fenster.
I'm not doin' it for you.                                                             --- Não vou fazer isto por ti.
I'm doin' this for me.                                                                --- Vou fazer isto por mim.
I'm gonna finish this thing.                                                          --- Vou acabar isto.
This Kobayashi bastard is not gonna stand on me.                                      --- E esse sacana do Kobayashi não se vai ficar a rir de mim.
After they killed Fenster, nobody would run?                                          --- E depois de enterrarem o Fenster, ninguém quis fugir?
-I wanted to. I thought we could make it.                                             --- 
-Why didn't you say anything?                                                         --- Então porque não disseste nada?
Believe me, I tried, but Keaton wouldn't have it.                                     --- Eu tentei, acredite, mas o Keaton não aceitou.
It was too far-fetched for him.                                                       --- Aquilo tinha ido longe demais para ele.
Keaton was a grounded guy.                                                            --- O Keaton era um tipo com os pés no chão, um ex-policia.
An ex-cop. To a cop, the explanation is never that complicated.                       --- 
It's always simple.                                                                   --- É sempre simples.
There's no mystery to the street, no arch-criminal.                                   --- Não há mistério nas ruas, não existem arqui-criminosos.
You got a body and think his brother did it, you're probably right.                   --- Se descobrires um cadáver e achares que foi o irmão que o matou ...vais acabar por descobrir que tens razão.
