B                                                                                     --- " B".
So Clyde finally lost it?                                                             --- Então o Clyde finalmente passou-se?
Somebody must have really pissed him off.                                             --- Alguém deve tê-lo irritado de verdade.
You worked with Shelton, is that right?                                               --- Trabalhou com o Shelton, não foi?
First of all, I was never here, and we never spoke.                                   --- Primeiro, nunca estive aqui e nós nunca falámos. Diga-nos com o que estamos a lidar.
Tell us what we're dealing with. Shelton was a spy?                                   --- - Shelton era espião?
- Spies are a dime a dozen.                                                           --- - Espiões temos aos montes.
I'm a spy.                                                                            --- Eu sou espião.
Clyde is a brain.                                                                     --- O Clyde é o cérebro.
He's a think-tank type guy.                                                           --- É o tipo que pensa.
His specialty was low impact kinetic operations.                                      --- Era especialista em operações dinâmicas de baixo impacto.
Just a fancy way to say that he kills people.                                         --- Elegante forma de dizer que mata pessoas.
We kill people.                                                                       --- Nós matamos pessoas.
He figured out how to do it without being in the same room.                           --- Ele descobriu como fazer isso estando longe.
It was his gift.                                                                      --- Era o dom dele.
And he was the best.                                                                  --- E era o melhor.
One time we're tasking this tricky target.                                            --- Uma vez, tínhamos uma missão com um objectivo complicado.
We were using cruise missiles, predators, we even had a B- 2 bomber fly to this guys villa to jade him. --- Usámos mísseis guiados, predadores, até um bombardeiro B- 2 a sobrevoar a vila desse tipo para o apanhar.
We're burning up millions in ordinance, we're getting nowhere with this guy.          --- A gastar milhões e não conseguíamos encontrá-lo.
So we call Clyde.                                                                     --- Então chamamos Clyde.
We ask him to solve our problem.                                                      --- Pedimos para resolver o problema.
Clyde develops a kevlar thread, with a high-tech ratchet made of carbon fiber.        --- Clyde criou um dispositivo de kevlar, de alta-tecnologia, com accionador feito de fibra de carbono.
Puts it in a necktie.                                                                 --- Colocou-o numa gravata.
Two days later, Mrs Bad Guy comes home, finds Mr Bad Guy dead on the bathroom tile.   --- Dois dias depois, a esposa do tipo chega a casa, e encontra-o morto no chão do WC.
Choked to death.                                                                      --- Estrangulado.
What I'm saying is, just assume that this guy can hear and see everything that you are doing. --- O que digo é que devem assumir que ele pode ouvir e ver tudo o que estão a fazer.
No, we got him locked under maximum security.                                         --- Não, está preso em segurança máxima.
If he's in jail it's because he wants to be in jail.                                  --- Se está na cadeia é porque quer ficar na cadeia.
He's a born tactician.                                                                --- É um estratega nato.
Every move he makes, it means something.                                              --- Cada movimento que faz, significa algo.
That cellmate that he killed, you think that was random?                              --- O tipo da cela que ele matou, acha que foi por acaso? Não.
That's a pawn being moved over the board.                                             --- Aquele foi apenas um peão que se mexeu no tabuleiro.
And if I were you, I'd be looking for the next piece.                                 --- E se eu fosse vocês, procuraria a próxima jogada.
Anybody who had anything to do with that case, he's gonna be coming after you.        --- Qualquer um que tenha algo a ver com aquele caso... Ele virá atrás de vocês.
So what are you saying? That we can't stop him?                                       --- Então, está a dizer que não podemos impedi-lo?
Walk into his cell and put a bullet in his head.                                      --- Entre na cela e meta uma bala na cabeça dele.
Aside from that, no, you can't stop him.                                              --- Fora isso, não, não podem detê-lo.
If Clyde wants you dead, you're dead.                                                 --- Se Clyde o quiser morto, está morto.
Hello?                                                                                --- - Alô?
- Sarah, it's me.                                                                     --- - Sarah, sou eu.
Setup a meeting with judge Birch.                                                     --- Marca uma reunião com a juíza Burch.
We need her to help keep Clyde on ice.                                                --- Precisamos dela para manter o Clyde na solitária.
Help us with what, Nick?                                                              --- Ajudar em quê, Nick?
The man's in prison.                                                                  --- O gajo está preso.
It's worse than we thought.                                                           --- É pior do que pensávamos.
Chester's your boyfriend, right?                                                      --- - Chester é o teu namorado, não é?
- Chester?                                                                            --- - Chester? Sim.
Yeah.                                                                                 --- Óptimo.
Good. Maybe stay a few days at his place.                                             --- Talvez possas ficar uns dias na casa dele.
And have Dunnigan send a patrol car to my house.                                      --- E diz a Dunnigan para mandar uma patrulha à minha casa.
Sorry about this, Sarah.                                                              --- Desculpa-me, Sarah.
I can't supercede the penal code.                                                     --- Não posso passar por cima do código penal.
You've already got him in solitary, a half-decent paralegal will have him out of there by next week. --- Já o colocou na solitária, meias-medidas legais e ele sairá
- We just want to limit his options.                                                  --- - de lá semana que vem. - Queremos limitar suas opções.
Give him less contact.                                                                --- Menos contacto.
Less access.                                                                          --- Menos acesso.
Even if it's just rescinding his mandatory exercise for a week.                       --- Mesmo que só suspender os exercícios por uma semana.
Under what cause?                                                                     --- - Motivado pelo quê?
- Whatever cause you want.                                                            --- - Pelo que quiser.
Wrap it around whatever piece of legal doctrine that helps you rationalize it.        --- Vasculhe cada pedaço da doutrina jurídica que a ajude a raciocinar.
Your honor.                                                                           --- Meritíssima.
So, let me get this straight.                                                         --- Então, deixe-me ver se entendi:
You want me to violate his God-given civil rights in the name of some murky sense of the greater good, is that the jist of it? --- Quer que eu viole os direitos civis dados por Deus, em nome de algum sentido obscuro de um bem maior, é isso?
Okay.                                                                                 --- Está bem.
I'm game.                                                                             --- Eu alinho.
Just dont plan on it sticking for long.                                               --- Só não fiquem com este plano por muito tempo. Está bem?
What, you gonna take that?                                                            --- Vai atender?
After all the grief you've given me over cell phones?                                 --- Depois de toda bronca que me deu por causa do meu telemóvel?
Thats one of the benefits of being a judge, Mr Rice,                                  --- É uma das vantagens de ser juiz, Sr.
I can pretty much do whatever I want.                                                 --- Rice, posso muito bem fazer o que quiser.
Hello?                                                                                --- Estou?
Oh my God.                                                                            --- Meu Deus!
Back up.                                                                              --- Afaste-se.
So you're killing judges now?                                                         --- Então, agora mata juízes? Na minha experiência, Nick,
In my experience, Nick, lessons not learned in blood are soon forgotten.              --- lições não aprendidas com sangue são esquecidas depressa.
And vengeance keeps you warm at night?                                                --- E vingança mantêm-no aquecido à noite?
Vengeance?                                                                            --- Vingança?
That's what you think this is about?                                                  --- Acha que isto se trata de vingança?
Vengeance!? What else could it be?                                                    --- O que mais poderia ser?
- No, Nick, I had ten years for vengeance, if that's what I wanted.                   --- Não Nick, tive 10 anos para me vingar, se quisesse.
You don't think that I watch you go to work, every morning 8: 00 am?                  --- Não acha que o vejo a ir para o trabalho, todas as manhãs às 8h?
Or that I watch Ellie take Denise to school 8: 15?                                    --- Ou que vejo a Ellie levar a Denise à escola, às 8h15?
No, I could've slaughtered you or your family, anytime I wanted, Nick.                --- Não, poderia tê-lo abatido ou à sua família, quando quisesse, Nick!
- If you even think about touching my family.                                         --- Nem pense em tocar na minha família.
If you even think about touching my family.                                           --- Nem sequer sonhe em tocar na minha família...
I do my job.                                                                          --- Faço o meu trabalho.
I'm the best at it.                                                                   --- Sou o melhor. Funciona.
It works. You were doing your job, the way it best served you, Nick.                  --- Estava a fazer o seu trabalho, da melhor forma que lhe convém.
The way it best served you.                                                           --- Da forma melhor que lhe convêm.
That has to change.                                                                   --- - Isso tem que mudar.
- What do you want, Clyde?                                                            --- - O que é que quer, Clyde?
Your war with the world, It's not gonna bring anybody back.                           --- A sua guerra com o mundo não trará ninguém de volta.
No, Im at war with this.                                                              --- Não, eu estou em guerra com isto.
This, this broken thing.                                                              --- Isto. Esta coisa avariada. Esta coisa que nos uniu.
This thing that brought you and I together. This broken thing works, for people that are sane. --- Esta coisa partida funciona, para pessoas sãs.
You think doing what you're doing is gonna change anything?                           --- Acha que o que faz vai mudar algo?
You, and whoever you have helping you, are gonna pay.                                 --- Você e quem o estiver a ajudar, irão pagar.
I don't think you have any idea who's helping me.                                     --- Não acho que tenha ideia de quem está a ajudar-me. - Ou do que estou a fazer.
Or what I'm doing. - It's a matter of time.                                           --- - É uma questão de tempo.
You see the bodies, you see the smoke.                                                --- Vê os corpos, vê o fumo.
But the larger picture still eludes you.                                              --- Mas o panorama completo ainda lhe escapa.
Do tell.                                                                              --- Então diga-me.
I would like to, but I would rather show you.                                         --- Gostaria de dizer, mas prefiro mostrar.
I have faith in you, so I will give you one last chance.                              --- Acredito em si, então vou dar uma última oportunidade.
Here's the deal: Release me.                                                          --- O acordo é este: solte-me.
And drop all charges by 6: 00 am.                                                     --- E retire todas as acusações até às 6 da manhã.
6: 00 am, Nick.                                                                       --- - Seis da manhã, Nick.
- Or what?                                                                            --- - Ou o quê?
Or I kill everyone.                                                                   --- Ou vou matar todos.
Hello?                                                                                --- - Alô?
- Yeah, Sarah,                                                                        --- - Sim, Sarah, ele tem de ter um cúmplice.
He has to have an accomplice. Probably somebody inside the prison.                    --- Provavelmente alguém de dentro da prisão.
We have to go through all the prisons files to find some connection.                  --- Procure em todos os arquivos da prisão, para encontrarmos alguma ligação.
- Do you want the files run to the office? No, there isn't time.                      --- - Queres os arquivos no escritório?
Get everybody together, and bring them to the prison.                                 --- - Não, não há tempo. Junta todos, e trá-los para a prisão.
We're moving in.                                                                      --- Vamos para lá.
Stop looking at your watch.                                                           --- Não olhes para o relógio.
Anything from your friend?                                                            --- Algum sinal do teu amigo?
This treaty with Panama is a mess.                                                    --- O tratado com o Panamá é uma confusão.
We cant access anything about property holdings, but my friend found this loophole for access to clients corporate expenses. --- Não podemos aceder a nada sobre donos de propriedades, mas o meu amigo encontrou esta brecha para aceder às despesas de clientes corporativos.
Does that help?                                                                       --- Isto ajuda?
So match sell prices of industrial property sold in Philly, up against purchases made by his corporation. --- Cruza o preço dos lotes industriais vendidos na Filadélfia, com as compras feitas pelas empresas dele.
Okay.                                                                                 --- Ok.
I got it.                                                                             --- Entendi.
Hey, Nick, can I ask you something?                                                   --- Nick, posso perguntar-te uma coisa?
Would you do it the same way now, would you still cut a deal for Darby?               --- Hoje agirias da mesma forma? Chegarias a um acordo com o Darby?
This is a job, Sarah.                                                                 --- Este é o trabalho, Sarah.
We have to make choices.                                                              --- Temos que fazer escolhas.
Did you make the right choice?                                                        --- - Fizeste a escolha certa?
- We made the right choice.                                                           --- - Fizémos a escolha certa, está bem?
I don't know.                                                                         --- Não sei.
I'm 35, Nick, and there are things, possibilities that I'm not gonna have now.        --- Tenho 35 anos, Nick, e há coisas, possibilidades que não vou ter agora.
And it's okay.                                                                        --- E está tudo bem.
And it was part of the deal.                                                          --- E foi parte do acordo.
Don't get me wrong, I love working for you.                                           --- Não me interpretes mal, adoro trabalhar para ti.
But I just wanna know that I gave up those things for more than just a high conviction rate. --- Mas quero saber se desisti destas coisas por mais do que apenas uma taxa de condenação alta.
Alright, lets just get focused.                                                       --- Tudo bem, vamos manter-nos atentos.
This guy is not God.                                                                  --- Este tipo não é Deus.
He's not the all-powerful, he's just well prepared.                                   --- Não é o todo-poderoso, só está bem preparado.
We need to be equally well prepared.                                                  --- Temos de estar igualmente bem preparados.
Take a couple of hours, go home, come back, and we'll get a fresh start.              --- Dêem um tempo, vão para casa, voltem e começaremos novamente.
Okay?                                                                                 --- Está bem?
Hey Nick.                                                                             --- - Nick. Descansa.
Get some rest. - Give Chester my regards.                                             --- - Dá cumprimentos ao Chester.
When do I get to meet him?                                                            --- - Quando irei conhecê-lo?
- Oh, he's not ready for that.                                                        --- - Ele ainda não está pronto para isso.
Good night, Jonas.                                                                    --- Boa noite, Jonas.
I don't know how this one's gonna turn out, Nick.                                     --- Não sei como é que isto vai acabar, Nick.
We're gonna stop him, that's how it's gonna turn out.                                 --- Vamos pará-lo, é assim que vai acabar.
Noo!                                                                                  --- Não!
No.                                                                                   --- Não!
Sarah.                                                                                --- Sarah.
In the past 48 hours, 6 officials from the Justice Department have been killed in a series of vicious and premeditated attacks. --- Nas últimas 48 horas, 6 oficiais do Departamento de Justiça foram mortos numa série de ataques cruéis e premeditados.
This marks the first time in the history of the US where government officials, have been, by all appearances, Systematically murdered. --- Foi a primeira vez na história dos Estados Unidos em que funcionários do Governo foram, ao que tudo indica, sistematicamente assassinados.
Nick, I'm sorry to have to do this, but we got something here.                        --- Nick, lamento ter que fazer isto, mas temos aqui algo.
Found this.                                                                           --- Encontrei isso.
Right outside the wall.                                                               --- No lado de fora.
Radio beacon.                                                                         --- Repetidor de rádio.
Sent an arming signal to the car bombs when they went through the gate.               --- Envia um sinal para armar a bomba no carro quando passa o portão.
- Security said they checked every car before they got here.                          --- A segurança disse que verificam todos os carros antes de entrarem.
Better check the gas stations.                                                        --- É bom verificar postos de gasolina...
Real precise stuff too.                                                               --- É algo muito preciso também.
Could have taken out a lot more if he wanted to.                                      --- Se quisesse, teria matado muito mais pessoas.
What about Nicks car?                                                                 --- - E o carro do Nick?
- That's the weird thing.                                                             --- - Isso é o mais estranho.
It's clean.                                                                           --- Está limpo.
Haven't been touched.                                                                 --- Não foi tocado.
I gotta go.                                                                           --- Tenho que ir.
Jesus Christ.                                                                         --- Jesus Cristo.
Privacy.                                                                              --- - Privacidade.
- Yes, ma'am.                                                                         --- - Sim, senhora.
So let me get this straight.                                                          --- Então, deixe-me ver se entendi.
Not only do we know who did it, We have him locked up and he's still killing people?  --- Não apenas sabemos quem fez isso, como também o prendemos e eke continua a matar pessoas?
You boys sure fucked this one up.                                                     --- Vocês fizeram merda da grossa com esta.
The press is gonna kill us.                                                           --- A imprensa vai matar-nos.
Can someone explain this to me?                                                       --- Alguém me pode explicar isto?
We can't yet.                                                                         --- Ainda não podemos.
How did this get away from you, Jonas?                                                --- Como perdeste o controle disto, Jonas?
It's complicated, April.                                                              --- É complicado, April!
He's very smart.                                                                      --- É muito esperto.
He's very angry.                                                                      --- Está com muita raiva.
We assume he has an accomlice helping him on the outside.                             --- Achamos que há um cúmplice a ajudá-lo cá fora.
I'm not having this conversation.                                                     --- Não estou a ter esta conversa!
I don't care how smart he is, or who's helping him.                                   --- Não me importa o quão esperto é ou quem o está a ajudar!
Release a statement saying we have suspects, we're following leads, nothing alarming. --- Faz uma declaração a dizer que temos suspeitos, e seguimos as pistas, nada alarmante.
Mayor, you have my word.                                                              --- Directora, tem a minha palavra.
We are gonna stop this guy, he's not gonna hurt anybody else.                         --- Vamos parar este tipo, não vai magoar mais ninguém.
I'm assigning security to each of you from now on.                                    --- Vou designar seguranças para vocês a partir de agora.
Get this situation under control, gentlemen.                                          --- Controlem esta situação, cavalheiros.
No phone calls, no credit cards, no computers.                                        --- Sem telefonemas, cartões de crédito, computadores. Só notas.
Just cash. Daddy, are you coming?                                                     --- Pai, tu vais?
Of course I am.                                                                       --- - Claro que vou.
- You better, Nick.                                                                   --- - É bom que vás mesmo, Nick.
Need to go.                                                                           --- - Tenho de ir.
- I love you, Nick.                                                                   --- - Amo-te, Nick.
Come on baby.                                                                         --- Vamos, querida.
Love you, daddy - Love you too.                                                       --- - Amo-te, pai. - Também te amo.
Nick, phone line's clear.                                                             --- Nick, a linha telefónica está limpa.
Nobody has been tampering,                                                            --- Ninguém está a escutar.
Good.                                                                                 --- Bom.
Should have taken my deal.                                                            --- Deveria ter aceitado meu acordo.
Six fucking innocent people, that's how you wanna play it?                            --- Seis inocentes, porra! É assim que quer agir? Tudo bem.
It's okay.                                                                            --- Tudo bem.
It's okay.                                                                            --- Sei que está com raiva.
I know you're angry.                                                                  --- Isso é bom.
That's good.                                                                          --- É do que precisa.
That's what it takes. That's how is has to be.                                        --- É assim que deve ser.
What if I said you fighting them was wrong?                                           --- E se eu dissesse que lutar é errado?
What if I had said let's take them to trial.                                          --- E se eu dissesse vamos a julgamento?
I would say you're making progress.                                                   --- - Diria que está a progredir.
And we might have lost.                                                               --- - E poderíamos ter perdido!
And Ames and Darby would both go free.                                                --- E Ames e Darby estariam livres.
Don't you get that?                                                                   --- Não entende isso?
You didn't care, Nick.                                                                --- Você não se importou, Nick. Nem sequer tentou.
You didn't even try. You could've walked out of court with your head held high.       --- Poderia ter saído do tribunal com a cabeça erguida.
I could've lived with that, Nick.                                                     --- Eu poderia ter aceite isso, Nick.
I keep my head high, and you will end this.                                           --- Vou ficar de cabeça erguida e você vai acabar com isto.
I've just gotten warmed up.                                                           --- Estou apenas a aquecer.
This is when it turns into a shit total fucking war.                                  --- É agora que isto vai virar uma porra de uma guerra.
I'm gonna pull the whole thing down.                                                  --- Vou deitar tudo abaixo.
I'm gonna bring the whole fucking diseased corrupt temple down on your head.          --- Derrubar toda esta porra de corrupção doentia na sua cabeça.
It's gonna be biblical.                                                               --- Vai ser bíblico.
Jesus, Nick, she was a good kid.                                                      --- Jesus, Nick, era uma boa miúda.
Did we bring this all on ourselves?                                                   --- Somos responsáveis por tudo isto?
Absolutely not.                                                                       --- Claro que não.
You don't actually believe that, do you?                                              --- Não acreditas realmente nisso, pois não?
Alright, gentlemen.                                                                   --- Está bem, cavalheiros.
Sorry, we need to get going to the press conference.                                  --- Lamento, temos uma conferência de imprensa.
Stay sharp.                                                                           --- Estejam atentos.
We're on the move.                                                                    --- Estamos em movimento.
We alright?                                                                           --- - Estamos bem?
- It's dead.                                                                          --- - Está morto.
Electrical system fried.                                                              --- O sistema eléctrico pifou.
What's going on back there?                                                           --- O que está a acontecer aí atrás?
Dunningan, tell them to get Jonas away.                                               --- Dunnigan, diga para levarem Jonas embora.
What the fuck is that?                                                                --- Que porra é essa?
Get down!                                                                             --- Abaixe-se! Abaixe-se!
Jonas!                                                                                --- Jonas!
No, Nick!                                                                             --- Não, Nick!
You can't.                                                                            --- Não pode.
Please, listen to me!                                                                 --- Por favor, escuta-me!
Jonas!                                                                                --- Jonas!
Jonas.                                                                                --- Jonas...
I told you to handle this.                                                            --- Eu disse para resolveres isto.
You didn't.                                                                           --- Não resolveste.
Now we have a jailed psycopath who's managed to bring this entire city to its knees.  --- Agora temos um psicopata preso que conseguiu deixar a cidade toda de joelhos.
One of my friends was just murdered.                                                  --- Um dos meus amigos acabou de ser assassinado.
More than one of my friends is gone, Mayor.                                           --- Mais do que um de meus amigos estão mortos, Directora.
What I should do is fire you.                                                         --- Eu deveria demitir-te.
Right now.                                                                            --- Agora.
I resign.                                                                             --- Peço demissão.
Is that your real answer?                                                             --- - Essa é tua verdadeira resposta?
- I think that's best.                                                                --- - Acho que é a melhor.
No.                                                                                   --- Não.
I'm not gonna allow that to happen.                                                   --- Não permitirei que isso aconteça.
Bring me the bible.                                                                   --- Traz-me a Bíblia.
I wont let some criminal decide whether Philadelphia has a DA or not.                 --- Não deixarei que um criminoso decida se Filadélfia tem uma Procuradoria ou não.
As of now you're acting District Attorney.                                            --- A partir de agora, vais ser Procurador.
We'll have a formal swearing in later.                                                --- Teremos um juramento formal depois.
For now, this will suffice.                                                           --- Por agora, será suficiente. Levante-se.
Put your left hand on the bible, raise your right hand, Repeat after me:              --- Põe a mão esquerda na Bíblia, e levanta a mão direita, e repete:
I, Nicholas Rice Do solemnly swear, That I will support,                              --- Eu, Nicholas Rice, juro solenemente, que apoiarei, obedecerei, e defenderei a Constituição dos Estados Unidos...
People aren't going to work, kids aren't going to school,                             --- As pessoas não vão trabalhar, as crianças não vão para a escola.
They're scared.                                                                       --- Estão com medo.
And I dont blame them.                                                                --- E não os censuro.
So I'm implementing the emergency provision of the Philadelphia code, we will lock this city down. --- Então, implementarei uma medida de emergência do Código da Filadélfia, fecharemos a cidade.
Starting now noone moves in this city unrestricted.                                   --- A partir de agora ninguém se move nesta cidade sem restrições.
I want a show of force for the public.                                                --- Quero uma demonstração de força para o público.
Uniforms, detectives, 12 hour shifts.                                                 --- Uniformes, detectives, turnos de 12 horas.
Put an armed cop on every corner.                                                     --- Ponham um polícia armado em cada esquina.
If you have to give shotguns to the meter maids, do it.                               --- Se for preciso, damos armas aos polícias de trânsito.
There should be no doubt in peoples minds that the city is secure and under our control. --- Não pode haver dúvida na cabeça das pessoas, de que a cidade está segura e sob nosso controle.
Okay, Clyde.                                                                          --- Está bem, Clyde.
I get it.                                                                             --- Entendi.
Listen, that contraption that killed Cantrell, it was a weaponized bomb disposal robot. --- Ouve, aquela engenhoca que matou Cantrell, era um equipamento bomba controlado por um robot.
Can you believe that?                                                                 --- Acreditas nisto?
Damn thing had video, night vision, you name it.                                      --- Aquela porcaria tinha vídeo, visão nocturna, sei lá o que mais.
It fired military API for christ sake.                                                --- É de uso militar, pelo amor de Deus!
That's anti-tank rounds, Nick.                                                        --- Anti-tanques, Nick.
I think he's saving you for last.                                                     --- Acho que ele está a deixar-te para o fim.
Nick, I'm serious.                                                                    --- Nick, estou a falar a sério.
Appreciate the insight.                                                               --- Agradeço a tua intuição.
Nick, get in front of this guy if you want to stay alive.                             --- Nick, mete-te na frente dele se quiseres continuar vivo.
I may have a way.                                                                     --- Posso ter uma solução.
Something a friend is helping me out with.                                            --- Algo em que um amigo me tem ajudado.
Your friend?                                                                          --- Um amigo? NÃO RECEBEU DE MIM SARAH LOWEL
Man named Chester, I'll call you back.                                                --- Um tipo chamado Chester, ligo mais tarde.
Thank you, Sarah.                                                                     --- Obrigado, Sarah.
" Hope this helps.                                                                    --- ESPERO QUE AJUDE" C".
- C"                                                                                  --- DESPESAS CORPORATIVAS DE CLYDE SHELTON
It's Nick.                                                                            --- É o Nick.
Give me the real estate listing of every industrial property sold here in the last 10 years. --- Envia-me a lista de anúncios de propriedades industriais vendidas aqui, nos últimos 10 anos.
Motherfucker.                                                                         --- Desgraçado!
You're kidding me, right?                                                             --- Estás a brincar comigo, não é?
You're saying Clyde owns this place?                                                  --- Estás a dizer que o Clyde é proprietário deste lugar?
Something about it sticks out, right?                                                 --- Faz sentido, não faz?
Yeah.                                                                                 --- É.
Uhhh, you'll do what I think you're gonna do?                                         --- Vais fazer o que estou a pensar? E quanto aos direitos civis dele?
What about his civil rights? Fuck his civil rights.                                   --- Que se lixem.
There's gotta be something in here.                                                   --- - Tem que haver algo por aqui.
Yeah.                                                                                 --- - Sim.
Remember this, from outside the house?                                                --- Lembras-te disso? De fora da casa.
Un-fucking believable.                                                                --- Não... posso... acreditar.
Look at this.                                                                         --- Olha para isto.
Watch your step.                                                                      --- Cuidado por onde andas.
This guy tunneled into prison?                                                        --- Este tipo fez um túnel para a prisão?
Holy shit.                                                                            --- Grande merda!
Fuck, Semtex.                                                                         --- Bolas, semtex!
Police uniforms, other disguises.                                                     --- Uniformes da polícia... outros disfarces.
He tunneled into every cell.                                                          --- Ele fez o túnel em todas as celas.
Over here.                                                                            --- Vem aqui.
Oh shit.                                                                              --- Bolas!
He wanted to be transfered to solitary.                                               --- Ele queria ser transferido para a solitária.
Surprise, motherfucker.                                                               --- Surpresa, seu desgraçado!
He's not here.                                                                        --- - Não está aqui!
- Then where is he?                                                                   --- - Então onde ele está?
Nomos, what happened to your eye?                                                     --- Nomos, o que aconteceu com o seu olho?
Ah, long story.                                                                       --- É uma história longa.
Step right here, Sir.                                                                 --- Parado aí.
Lets see your ID, please.                                                             --- Mostre-me a sua identificação. - Claro.
- Yeah, sure.                                                                         --- - Obrigado.
Turn around, Sir, extend your arms.                                                   --- Vire-se e levante os braços.
Something going on tonight?                                                           --- - O que se passa aqui hoje?
The Mayor.                                                                            --- - É a Directora.
Look at this.                                                                         --- Olha aqui.
He tapped into the prison cams.                                                       --- Invadiu as câmaras da prisão.
Jesus, he's got cameras everywhere.                                                   --- Meu Deus, há câmaras por todo o lado.
Von Clausewitz.                                                                       --- NO CENTRO DO PODER E MOVIMENTO NO´CENTRO DE GRAVIDADE´ DO INIMIGO
" City Hall Access Card"" PHILADELPHIA CITY HALL"                                     --- CÂMARA DA FILADÉLFIA
He's at City Hall.                                                                    --- Ele está na Câmara!
Free to go, Sir.                                                                      --- Pode seguir.
Sorry for the inconvenience.                                                          --- Desculpe o inconveniente.
- Don't worry about it.                                                               --- Não se preocupe.
Better be safe than sorry, right?                                                     --- É melhor prevenir do que remediar, não é?
Get ready to evacuate the building.                                                   --- Preparem-se para evacuar o local.
We'll need a tactical unit and a bomb squad. Bad idea.                                --- Precisamos da unidade táctica e esquadrão anti-bombas.
Have them come in soft.                                                               --- Péssima ideia.
If Shelton spots them or any of us we're fucked.                                      --- Faça-os vir em silêncio. Se ele nos vir, estamos tramados.
Where's the tactical team?                                                            --- - Onde está a unidade táctica? - A caminho.
- Coming in soft, no sirens.                                                          --- - Em silêncio, sem sirenes.
Bomb squad?                                                                           --- - E o esquadrão anti-bombas?
- You're looking at it.                                                               --- - Estás a olhar para ele.
Great.                                                                                --- - Excelente.
Okay.                                                                                 --- Está bem.
We'll take the north stairs, you take the west.                                       --- Iremos pela escada norte, vai pela oeste.
Woah, woah, woah.                                                                     --- - Hei! Hei! Hei!
ID's please.                                                                          --- - Identificações, por favor.
He's the fucking DA!                                                                  --- - Ele é o Procurador!
- Good for him.                                                                       --- - Bom para ele.
ID's please.                                                                          --- Identificações?
What's going on here tonight?                                                         --- O que se vai passar aqui hoje?
Judy meeting with all the press.                                                      --- Reunião de segurança com toda a imprensa.
What floor?                                                                           --- - Em que andar? - Sexto.
- 6th floor, Caucus room.                                                             --- Sala Caucus.
What floor is this?                                                                   --- - Que andar é este?
- That's the 5th floor, Sir.                                                          --- - É o quinto.
Directly below the Caucus room.                                                       --- Mesmo por baixo da sala Caucus.
If we catch this motherfucker red handed, we gotta take him alive.                    --- Se apanharmos esse desgraçado em flagrante, temos que o apanhar vivo.
Where is he?                                                                          --- Onde é que ele está?
What the fuck are we looking for?                                                     --- - Que diabos estamos a procurar?
Wait, wait wait.                                                                      --- - Espera, espera, espera. - Ali.
Right there.                                                                          --- - Afastem-se.
Stand back, dont touch anything.                                                      --- Não toquem em nada.
Wasn't exactly my first instinct.                                                     --- Tocar ali não era propriamente o meu instinto.
It's napalm, basically.                                                               --- É napalm, basicamente.
This will take out this floor and the floor above.                                    --- Vai explodir o andar inteiro e o andar acima de nós.
Looks like it's triggered by this cell phone here.                                    --- Parece que é accionado por este telemóvel.
What, so, an incoming call arms it?                                                   --- Então... qualquer ligação a acciona?
Yeah. Maybe 30 seconds until boom time.                                               --- Sim, talvez demore uns 30 segundos para explodir.
Jesus.                                                                                --- - Meu Deus!
- Dunningan, what are you doing?                                                      --- - Dunnigan, o que estás a fazer?
I'm calling the Mayors security.                                                      --- A ligar para a segurança da Directora.
- We can't                                                                            --- Não podemos.
Clyde is watching.                                                                    --- O Clyde está a observar.
If he sees them evacuate he will detonate.                                            --- Se ele vir uma evacuação, vai detonar isto.
We don't tell the Mayor anything.                                                     --- Não diremos nada à Directora.
So, what do we do?                                                                    --- Então o que fazemos?
Wait a second. We got something.                                                      --- Espera um pouco... consegui alguma coisa.
- He's pulling up.                                                                    --- Ele está a posicionar-se.
Thank you for coming in on short notice.                                              --- Obrigado por virem tão rápido.
I have one simple question.                                                           --- Tenho uma pergunta simples.
Why is Clyde Shelton still in my city?                                                --- Porque é que o Clyde Shelton ainda está na minha cidade?
Now I refuse to believe, that one man is smarter than homeland security, the FBI, the Sheriffs Department, or Philly PD. --- Recuso-me a acreditar que um homem é mais inteligente que a Guarda Nacional, o FBI, a polícia local e a polícia da Filadélfia.
I don't care how we do it, or what kind of obscure legal justification we have to invoke. --- Não importa como vamos fazer, que argumento legal obscuro teremos que invocar, cavalheiros.
I don't care what laws we have to bend.                                               --- Não importa quais leis teremos que distorcer.
I am sure there is a provision of the homeland security act that we can activate.     --- Tenho certeza que existe uma cláusula no acto da Guarda Nacional que podemos usar.
Just get him out of here by tomorrow.                                                 --- Simplesmente tirem-no daqui até amanhã!
Clyde.                                                                                --- Clyde.
Nick.                                                                                 --- Nick.
I wasn't expecting company.                                                           --- Eu não esperava companhia.
Yeah, would've cleaned up a little.                                                   --- Eu teria... feito uma limpeza a isto.
Never seen anybody tunnel into prison before                                          --- É a primeira vez que vejo alguém cavar um túnel para dentro da prisão.
And the solitary confinement was clever.                                              --- E a... jogava de ser atirado para a solitária foi inteligente.
Well that's how winners play.                                                         --- É assim que os vencedores jogam.
We convince the other guy he's making all the right moves.                            --- Convencemos o outro tipo que ele faz todos os movimentos certos.
So did you ever catch my accomplice?                                                  --- Chegou a apanhar o meu cúmplice?
Yeah, I did.                                                                          --- Sim.
It's the end of the road for him now.                                                 --- É o fim do jogo para ele.
You played us, Clyde, you played us real good.                                        --- Você joga muito bem, Clyde.
Thank you.                                                                            --- Obrigado.
