You got him!                                                                          --- Apanhaste-o!
Broken nose don't hurt that much.                                                     --- O nariz partido não dói muito.
Why are you telling me that?                                                          --- Porque me estás a dizer isso?
No reason.                                                                            --- Por nada.
But some wounds are too deep or too close to the bone.                                --- Mas muitos ferimentos são profundos demais... ou perto demais do osso.
And no matter how hard you work at it, you just can't stop the bleeding.              --- E não importa o quanto se esforce, não se consegue parar a hemorragia.
Did you write your daughter?                                                          --- Escreveste para a tua filha? Todas as semanas.
I've no idea why you come to church.                                                  --- Não faço ideia porque é que vem à igreja.
After her 12th straight knockout, Frankie got a couple of real good offers.           --- Depois de 12" knock outs" seguidos, O Frankie teve duas ofertas muito boas.
The first was to fight Billie," The Blue Bear", Osterman for the WBA welterweight title. --- A primeira foi lutar contra" Billy A ursa azul" Osterman... pelo campeonato dos pesos-médios da WBA.
Billie the Blue Bear!                                                                 --- Billie" A Ursa Azul"
Billie was a former prostitute out of East Berlin.                                    --- Billy era uma ex-prostituta de Berlin Oriental.
Had a reputation for being the dirtiest fighter in the ranks.                         --- A sua reputação era a de ser a lutadora mais" suja" do ranking.
Didn't matter to her, something like that could kill a person.                        --- Não parecia se importar... que algo assim pudesse matar alguém.
And the crowds loved her.                                                             --- E a multidão adorava-a.
He turned it down without even telling her.                                           --- Ele recusou sem lhe dizer nada.
The next was to fight the British champ, a Jamaican girl Billie just beat.            --- A próxima a lutar era a Campeã Britânica, uma rapariga jamaicana que a Billy acabara de derrotar. Estou?
Not interested.                                                                       --- Não estou interessado.
He turned that down too.                                                              --- Ele recusou também.
That's a lot of money, boss.                                                          --- É muito dinheiro, chefe.
You're making money. What're you still working here for?                              --- Estás a ganhar dinheiro, porque é que ainda está a trabalhar aqui?
It's a title match, right?                                                            --- É um combate pelo título, não é?
Are you British?                                                                      --- És britânica?
It's a title you can't take away. She's got nothing to lose, you got nothing to win.  --- É um título que não podes tirar, ela não tem nada a perder e tu nada a ganhar.
Might still be a good fight.                                                          --- Ainda assim pode ser um bom combate.
I just brought you up to welterweight.                                                --- Acabei de te colocar na categoria mais acima.
Too good to fight these contenders, you'd rather fight some bullshit champ?           --- E tu achas-te boa demais para enfrentar essas adversárias? Preferes enfrentar uma campeã britânica de merda?
Didn't notice I was fighting any contenders.                                          --- Não notei que estava a lutar com nenhuma adversária.
Well, you can get yourself another manager any time you want.                         --- Podes arranjar outro empresário quando quiseres.
In fact, if you'd learnt to protect your face a little better, I wouldn't have to turn down this money. --- Se aprendesses a defender a cara um pouco melhor, eu não teria que recusar este dinheiro.
My face out there so much, it's a miracle I ain't been knocked out yet, boss.         --- A minha cara está assim tão exposta, que é um milagre ainda não ter sido posta" knock out", chefe.
No you can't work here anymore tonight.                                               --- Não podes treinar aqui esta noite.
I made us a reservation.                                                              --- Eu fiz uma reserva para nós.
You um... You might want to shower.                                                   --- É melhor tomares um banho.
Here you go.                                                                          --- Aqui está.
Here you go.                                                                          --- E aqui está para si.
What's this?                                                                          --- O que é isto?
Well, ain't no big secret what you're wishing for.                                    --- Não é um grande segredo o que desejas. Sopra.
Thank you.                                                                            --- Obrigada.
33 ain't so old.                                                                      --- 33 não és tão velha.
I was still fighting at 39.                                                           --- Eu ainda lutava com 39.
Fought for 23 years.                                                                  --- Eu lutei durante 23 anos.
How's it going, Scrap?                                                                --- Como vais, Scrap?
Ah, doin´ good, Mickey.                                                               --- Bem, Mickey. Estou bem.
What are you having?                                                                  --- - O que deseja? - Café.
You two not speaking?                                                                 --- Vocês os dois não se falam?
Don't hardly know him.                                                                --- Eu mal o conheço.
I met Frankie right after my 37th birthday.                                           --- Eu conheci o Frankie, logo depois do meu 37º aniversário.
He was picking up cut work.                                                           --- Ele trabalhava como" homem do corte".
He used to patch me up when I thought it was impossible.                              --- Ele remendava-me quando eu achava que era impossível.
Good man to have in your corner.                                                      --- É um bom homem para se ter no canto.
Yes, he is.                                                                           --- É mesmo.
He stayed with me through my last fight in San Berdoo.                                --- Ele ficou comigo até ao meu último combate em San Berdu.
My manager was off getting drunk somewhere and... it was just Frankie and me.         --- O meu empresário estava a embebedar-se nalgum lugar. Era só o Frank e eu.
I was taking a hellacious beating.                                                    --- Eu estava a levar uma bela tareia.
Everybody's got a particular number of fights in´em.                                  --- Toda a gente tem um número de combates para cumprir.
Nobody tells you what that number is.                                                 --- Ninguém sabe quantos.
Mine was 109.                                                                         --- A minha quantidade era 109.
I just didn't want to admit it.                                                       --- Eu só não queria admitir.
Fourth round, this... this cut opens up.                                              --- No quarto" round" este... corte abriu.
Blood starts pouring into my eye.                                                     --- O sangue começou a escorrer-me no olho.
They should've stopped the fight, but, hell, I was a black man in San Berdoo-blood was what I was there for. --- Eu devia ter parado o combate, mas... Eu era um negro em San Berdu, Calculei que era para isso que lá estava.
Round after round, I kept getting Frankie to patch me up.                             --- " Round" após" round", eu obrigava o Frank a coser-me.
He's talking about throwing in the towel, but he ain't my manager, he can't throw in nothing. --- Ele falava em atirar a toalha ao chão, mas ele não era meu empresário, ele não podia atirar nada.
Round after round, he's arguing with me.                                              --- " Round" após" round", ele discutia comigo.
And I'm almost laughing, cos, hell, it's getting more to him than to me.              --- Eu estava quase a rir... porque ele ficava a enfiar mais coisas em mim.
I go 15 rounds, lose by decision.                                                     --- Eu cheguei até o 15º" round", Perdi por decisão da arbitragem.
Next morning, I lose the eye.                                                         --- Na manhã seguinte, perdi o olho.
In 23 years, he's never said a thing about it.                                        --- Em 23 anos ele nunca disse nada sobre isto.
Doesn't have to. I can see it in his face every time he looks at me.                  --- Nem é necessário, vê-se na cara dele, sempre que olha para mim.
Somehow...                                                                            --- De alguma forma,
Frankie thinks he should've stopped that fight.                                       --- O Frankie acha que devia ter parado aquele combate.
Should've saved my eye.                                                               --- Que devia ter salvo o meu olho.
Spends his life wishing he could take back that 109th fight.                          --- Passa a noite a desejar poder apagar aquele 109º combate.
See, I wanted to go to 110.                                                           --- Eu queria ter chegado ao 110º.
Thing is... if you want to get to the title... maybe he's not the one to take you there. --- Mas isto é assim... Se quiseres chegar ao título, Talvez ele não seja a pessoa certa para te levar lá.
You tell Mr.                                                                          --- Você disse ao Sr.
Mack we'd be here tonight?                                                            --- Mack que estaríamos aqui esta noite?
Go on and eat your cupcake.                                                           --- Come o bolo.
It's the rule-always protect yourself.                                                --- Esta é a regra: Protege-te sempre.
People never take their own advice.                                                   --- As pessoas nunca seguem o seu próprio conselho.
If she was going to leave Frankie better she did it to him then.                      --- Se ela ia deixar o Frankie, era melhor que fosse agora.
Mr.                                                                                   --- Sr.
Mickey Mack?                                                                          --- Mickey Mack? Sou a Maggie Fitzgerald.
I hear you're a... a real good manager. Doing, uh, good things for Big Willie.        --- Ouvi dizer que o senhor é... um bom empresário, e que esta a fazer... coisas boas para o Grande Willie.
But I thought you should know I ain't never leaving Mr.                               --- Mas achei que devia saber, eu não vou deixar nunca o Sr. Dunn.
Dunn, so you don't need to make any more excuses to bump into me.                     --- Então não precisa de arranjar mais desculpas... para me encontrar por acaso.
Sorry for interrupting your dinner.                                                   --- Desculpe interromper o seu jantar.
Maggie always did like taking´em out in the first round.                              --- A Maggie sempre gostou de pô-las" knock out" no primeiro round.
The letters always came back marked the same way" Return to Sender".                  --- As cartas voltavam sempre com o mesmo carimbo: Devolver ao remetente.
I will uh... make you some coffee.                                                    --- Oh, vou fazer um café.
What are you doing with your money?                                                   --- O que é que andas a fazer com o teu dinheiro?
Saving it.                                                                            --- - A economizar.
Good girl.                                                                            --- - Boa.
You know, you save enough of it, you ought to get yourself a little house.            --- Sabes, se economizares o suficiente, podes comprar uma casinha.
Cash, no mortgage.                                                                    --- A dinheiro e não a crédito.
It'll be a while´fore I can do that.                                                  --- Vai levar algum tempo antes que eu possa fazer isso.
Yeah, well, it might be a stretch, but, uh, you gotta get yourself a place of your own. --- Bem, pode levar algum tempo, mas... devias arranjar casa própria.
Go around wasting it on things that don't matter, what do you got?                    --- Se desperdiçares com coisas sem importância, não vais ter nada. Entendeste?
You understand?                                                                       --- Se ficares a fazer tempo.
Pretty soon, you wait long enough, you got nothing.                                   --- Não vai haver nada. Ok.
OK soon as I get the money.                                                           --- Assim que tiver o dinheiro.
Well, I made a lot of mistakes in my life. I'm just trying to keep you from doing the same. --- Cometi muitos erros na minha vida, só estou a tentar impedir que faças o mesmo.
I know, boss.                                                                         --- Eu sei, chefe.
I'm not gonna live forever.                                                           --- Eu não vou viver para sempre.
What is it?                                                                           --- O que é isto?
It's a tape on that girl in England you're gonna fight.                               --- Um filme daquela rapariga de Inglaterra que vais enfrentar.
If you're gonna go for the title, we got moves to...                                  --- Se vais atrás do título, tem uns golpes...
Hey, hey! Get the hell down. You know how old I am.                                   --- Ei, sai de cima de mim, sabes que idade eu tenho?
Oh, thank you, boss.                                                                  --- Obrigada, chefe.
Thank you so much.                                                                    --- Muito obrigada.
You're welcome, darling. Now, just, here let me put this in... in the machine.        --- Deixa-me pôr isto na máquina.
What machine?                                                                         --- Que máquina?
Don't have a TV, huh?                                                                 --- - Não tens uma TV? - Não.
All right.                                                                            --- Tudo bem. Ok.
Ten minutes, love.                                                                    --- - Dez minutos, amor.
Thank you.                                                                            --- - Obrigada.
Man says he loves me.                                                                 --- Ele diz que me ama.
Well, he's probably not the first one to say that.                                    --- Ele não deve ser o primeiro a dizer isso.
First since my daddy.                                                                 --- O primeiro desde o meu pai.
I win, you think he'll propose?                                                       --- Se eu ganhar, acha que ele me pede em casamento?
You win, I'll propose.                                                                --- Se ganhares, eu peço.
Look, I've got you a gift here.                                                       --- Olha, eu tenho um presente para ti.
I - I think they gave you somebody else's.                                            --- Acho que lhe deram o de outra pessoa.
No, no.                                                                               --- Não. Não.
This is it.                                                                           --- É este mesmo.
What's it mean?                                                                       --- - Mas o que é que significa?
I don't know.                                                                         --- - Não sei.
Something in Gaelic.                                                                  --- É algo em gaélico.
It's beautiful.                                                                       --- É lindo.
I thought so.                                                                         --- Foi o que eu pensei.
Yeah.                                                                                 --- É um tecido muito macio.
From the United States of America the challenger Maggie Fitzgerald!                   --- Neste canto, dos EUA, A titã: Maggie Fitzgerald!
Hey! Yeah, yeah," Mo cuishle."                                                        --- - Mo Cuishle, viste-o?
" Mo cuishle"!                                                                        --- - Mo Cuishle.
She wasn't the main attraction.                                                       --- Ela não era a atracção principal.
She was on the undercard of a middleweight title fight.                               --- Ela só era mais uma numa luta de meio-médios.
But ask someone who was there they couldn't tell you who else fought that night.      --- Mas perguntem a alguém que esteve lá, e ninguém se lembra de mais ninguém que combateu naquela noite.
Box!                                                                                  --- Lutem.
She's tough.                                                                          --- Ela é forte.
I can't get inside. I can't get close enough to hit her.                              --- Eu não consigo entrar, não consigo chegar perto o suficiente para lhe bater.
- You know why that is?                                                               --- - Sabes porquê? - Porquê?
She's a better fighter than you are, that's why.                                      --- Ela luta melhor do que tu, é por isso.
She's younger, she's stronger, and she's more experienced.                            --- Ela é mais jovem, mais forte e tem mais experiência.
Now, what are you going to do about it?                                               --- Agora... o que vais fazer a esse respeito?
Get in there.                                                                         --- Entra.
Box!                                                                                  --- Lutem.
Four, five, six, seven, eight, nine, ten!                                             --- 3, 4, 5, 6, 7, 8, 9, 10.
Mo cuishle!                                                                           --- Mo Cuishle Mo Cuishle
I could ask someone, you know?                                                        --- Eu podia perguntar a alguém, sabes? Óptimo.
Good. You find out, you let me know.                                                  --- Quando descobrires, conta-me.
Whatever it meant the name stuck.                                                     --- Seja lá qual for o significado, o nome pegou.
Maggie fought in Edinburgh and Paris Brussels and Amsterdam.                          --- Maggie lutou em Edimburgo, Paris, Bruxelas e Amesterdão. e era sempre a Mo Cuishle.
Seems there are Irish people everywhere or people who want to be.                     --- Parecia haver irlandeses em toda a parte... Ou gente que queria ser.
By the time they came back to the States. - Maggie was in a whole new league.         --- Quando voltaram para os EUA, a Maggie estava numa liga completamente nova.
Mo cuishle, Mo cuishle! Mo cuishle, Mo cuishle!                                       --- Mo Cuishle!
After that they got another offer to fight for the title.                             --- Depois dessa, tiveram outra oferta para combater pelo título.
- What's the split?                                                                   --- Dividimos em quanto? 60- 40.
- 60- 40.                                                                             --- Bom.
Good. We'll take 60, and you take 40, being as that Maggie's the draw.                --- Nós ficamos com 60 e vocês com 40, já que é a Maggie que atrai multidões.
Ugh!                                                                                  --- Aquela rapariga?
You think I'm wrong? Really?                                                          --- Achas que estou errado, achas?
You think people are saying that they want to see some scabby Kraut beat up on little Miss What's- Her- Name? --- Achas que as pessoas estão a dizer que... querem ver uma alemã nojenta bater na Sra. Fulana de tal?
You find someone who says that, and we'll take the 40.                                --- Encontrem alguém que diga isso e aceitamos os 40. Até logo.
Well, they're at 60- 40, but they'll come up to 50- 50.                               --- Eles estão em 60- 40, mas vão chegar aos 50- 50.
How's that girl doing?                                                                --- Como vai aquela rapariga?
Well, she's got a concussion and a broken eardrum.                                    --- Ela está com uma contusão e... um tímpano rebentado.
She'll be all right?                                                                  --- Ela vai ficar bem?
And if she isn't?                                                                     --- E se não ficar?
Maybe I should send her something.                                                    --- Talvez eu devesse mandar algo.
Well, you could send her your cheque, if you'd like. I'm sure she'd take it.          --- Podias-lhe mandar o teu cheque se quiseres, tenho a certeza que ela aceitaria.
Boss?                                                                                 --- Chefe...
That little house we talked about?                                                    --- Sabe aquela casinha? Eu comprei.
Well, smart girl.                                                                     --- Sim senhora. Para a minha mãe.
For my mama. It's only about a mile from where she lives now.                         --- É só a uma milha de distância de onde ela mora agora.
No mortgage, just like you said.                                                      --- Nada de financiamento, como disse.
You're a good daughter.                                                               --- És uma boa filha. Ela ainda não sabe.
I was hoping maybe we could stay an extra day, drive over there?                      --- Eu tinha a esperança de nós... ficarmos mais um dia e ir-mos até lá.
I know she wants to meet you.                                                         --- Eu sei que ela quer conhecê-lo.
Yeah.                                                                                 --- Sim.
We could do that.                                                                     --- Podemos fazer isso.
Oh, my God.                                                                           --- Oh, meu Deus.
Mama, come on out here.                                                               --- Mãe, venha aqui. A Mary Ann está aqui.
This is the Johnsons old house.                                                      --- É a casa dos Johnsons. Agora já não é.
It's all yours, Mama.                                                                 --- Ela é toda sua mãe.
For you and Mardell and the kids.                                                     --- Para si, Bardell e os miúdos.
Mary M, you bought this for me?                                                       --- Compraste isto para mim?
Yeah, all yours, free and clear!                                                      --- Ela é toda sua, de graça e sem dívidas.
Darling. There's no fridge. No stove, neither.                                        --- Querida... não tem frigorifico nem fogão.
They'll be here before you move in.                                                   --- Eles estarão aqui quando se mudarem.
How much money did this cost you?                                                     --- - Quanto pagaste por isto? - Não interessa.
You never mind that.                                                                  --- Não devias ter feito isto.
- Oh, you shouldn't have done this. - You need a decent place.                        --- Precisava de um lugar decente.
You shouldn't have done it!                                                           --- Não devias ter feito isto!
You should've asked me first!                                                         --- Devias me ter perguntado primeiro.
Darling, government's gonna find out about this house, they'll stop my welfare.       --- Quando o governo descobrir sobre esta casa, vão parar de me dar a pensão de sobrevivência.
- Mama, no, they ain't.                                                               --- - Não, mãe, não vão.
- Yeah, they are.                                                                     --- - Vão sim.
You're fine, you're working, but I can't live without my welfare.                     --- Estás bem, estás a trabalhar, mas... Não posso viver sem a minha pensão de sobrevivência.
Mama, I- I send you money.                                                            --- Mãe, eu mando-te dinheiro.
What about my medicine?                                                               --- E os meus remédios?
Medicaid gonna cut me off.                                                            --- Vão cortar o meu auxílio de saúde.
How am I supposed to get my medicine?                                                 --- Como é que vou arranjar os meus remédios?
I'll send you more money.                                                             --- Eu mando-te mais dinheiro.
I hope you don't expect JD to move in here with us.                                   --- Espero que não aches que o J. D. vá morar connosco.
He's getting out, you know.                                                           --- Ele está quase a sair da cadeia, sabias?
Why didn't you just give me the money?                                                --- Por que não me deste o dinheiro?
Why'd you have to buy me a house?                                                     --- Tinhas que comprar uma casa?!
Didn't have to, Mama.                                                                 --- Eu não tinha que fazer nada, mãe.
But it's yours.                                                                       --- Mas é sua.
You want the money, sell it.                                                          --- Se quiser o dinheiro, venda-a.
I don't...                                                                            --- Eu não...
I know you didn't mean nothing hurtful by this, but sometimes you just don't think things through. --- eu sei que não tiveste má intenção com isto. É que às vezes não pensas bem.
That's true, Mama.                                                                    --- É verdade, mãe.
I'll try and keep the house.                                                          --- Vou tentar ficar com a casa.
I just worry about all those expenses.                                                --- Só estou preocupada com todas as despesas.
I'll send you some more money.                                                        --- Vou mandar-lhe mais dinheiro.
That man hitting you?                                                                 --- Aquele homem bate-te?
- It's from the fight.                                                                --- É do boxe.
- Oh. I'm a fighter, Mama.                                                            --- Sou uma boxeur, mãe.
Find a man, Mary M.                                                                   --- Encontra um homem, Mary Ann.
Live proper.                                                                          --- Vive com decência.
People hear about what you're doing, and they laugh.                                  --- As pessoas ouvem sobre o que fazes e riem à boca cheia.
Hurts me to tell you, but they... they laugh at you.                                  --- Fico magoada em dizer que se riem de ti.
Hi.                                                                                   --- Olá.
You ever own a dog?                                                                   --- Já tiveste um cão? Não.
Nope. Closest I ever came was a middleweight from Barstow.                            --- O mais parecido que tive foi... um peso-médio de Barstow.
My daddy had a German shepherd, Axel.                                                 --- O meu pai tinha um pastor alemão: o Axel.
Axel's hindquarters were so bad, he had to drag himself room to room by his front legs. --- O cú do Axel era tão mau que ele tinha que... se arrastar de quarto em quarto com as patas dianteiras.
Me... Me and Mardell'd bust up laughing, watching him scoot across the kitchen floor. --- Eu e o Bardell... ria-mos a vê-lo a arrastar-se pelo chão.
Daddy, he was so sick by then, he couldn't hardly stand himself, but one morning, he got up and carried Axel to his rig, and the two of them went off into the woods, singing and howling. --- O meu pai estava tão doente nessa época... que mal conseguia levantar-se. Mas... uma manhã, ele levantou-se... carregou o Axel na sua carrinha, e saíram os dois para o meio do mato, a cantar e a uivar...
But wasn't till he got home that night, alone, that I saw the... the shovel in the back of the truck. --- Mas só quando ele voltou para casa naquela noite... sozinho é que eu vi a pá na traseira da carrinha.
Sure miss watching the two of them together.                                          --- Eu sinto falta de ver os dois juntos.
I got nobody but you, Frankie.                                                        --- Eu não tenho ninguém a não seres tu, Frankie.
Well, you've got me.                                                                  --- Mas tu tens-me a mim.
At least, that is, until we find you a good manager.                                  --- Pelo menos até encontrarmos um bom empresário.
Hey, can we stop just up here?                                                        --- Ei, podemos parar aqui?
Yeah.                                                                                 --- Sim.
This place has the best lemon pie around.                                             --- Este lugar tem a melhor torta de limão da região.
None of that canned filling crap.                                                     --- Sem aquela porcaria de recheio de lata.
Now I can die and go to heaven.                                                       --- Agora posso morrer e ir para o céu.
I used to come here with Daddy.                                                       --- Eu costumava vir aqui com o meu pai.
Wonder if a place like this is for sale.                                              --- Será que este lugar está à venda?
I got a little bit of savings.                                                        --- Eu tenho algumas economias.
Hey, what the hell's Danger looking at?                                               --- Ei, para onde é que o" Perigo" está a olhar?
Looks like another bottle of water.                                                   --- Parece outra garrafa de água.
Want to come to Vegas with us?                                                        --- Queres vir a Las Vegas connosco?
Watch you suffer over the nickel slots?                                               --- Ver-te a sofrer nas máquinas de moedas?
Uh-uh. My heart can't take that kind of pounding.                                     --- O meu coração não aguenta isso.
Well, she's got a title shot.                                                         --- Ela conseguiu um combate pelo título.
The Blue Bear.                                                                        --- A Ursa Azul.
Million dollars, split right down the centre.                                         --- Um milhão de dólares. Meio a meio.
Oh, that's good, Frankie.                                                             --- Isso é bom, Frank.
That's real good.                                                                     --- Mesmo bom.
Well, I could use a good second.                                                      --- Eu preciso dum bom segundo.
Can't find one.                                                                       --- Não consigo encontrar um, pensei em te pedir.
I thought I'd ask you. Why the hell would I want to do that?                          --- E porque raio ia eu querer fazer isso?
Well, cos you're a half-blind old fool who never got there himself.                   --- Bem, porque és um velho tolo meio cego, que nunca chegou lá.
I thought you might like to feel what it's like to be in the ring on a title match.   --- Achei que ias gostar de sentir como é... estar num ringue num combate pelo título.
Excuse me for feeling sorry for you.                                                  --- Desculpa por sentir pena de ti.
Nah, you... you pick up somebody there in Vegas.                                      --- Não. Apanha alguém lá em Las Vegas.
Somebody with young hands.                                                            --- Alguém com mãos jovens.
Well, you're not gonna cry now, are you?                                              --- Não vais chorar agora, ok? Já tenho uma rapariga.
I leave this place for one day, got any idea what it would look like when I come back? --- Se eu deixar este lugar por um dia, tens ideia de como vai estar quando eu voltar?
Kind of like it looks right now.                                                      --- Mais ou menos da maneira que está agora. Oh, vai para o inferno.
You tell Maggie don't come back here without a belt.                                  --- Diz à Maggie para não voltar sem o título. Ok.
Hey, Mr.                                                                              --- Ei, Sr.
Scrap.                                                                                --- Scrap.
Mm-hm?                                                                                --- Eu tenho uma pergunta.
I got a question, but I feel real stupid asking it.                                   --- Eu sinto-me muito idiota por perguntar.
No such thing as a stupid question there, Danger.                                     --- Não existe pergunta idiota," Perigo". Ok.
How'd you get all the ice in here through this little tiny hole?                      --- Como é que consegue... enfiar o gelo nesse buraquinho pequeno?
I been thinking on it.                                                                --- Fiquei a pensar a noite inteira... e não descobri.
Why don't I show you, Danger?                                                         --- Deixa-me mostrar-te," Perigo".
Oh, you could do that? You could show me?                                             --- Pode fazer isso, pode me mostrar?
I think so.                                                                           --- Acho que sim. E também, Sr.
Also, Mr. Scrap, I was kind of thinking I might be ready for a fight.                 --- Scrap, estava a pensar que posso estar pronto para um combate.
Oh, you do, do you?                                                                   --- Estás, é?
- Well, I got the tickets.                                                            --- Já tenho os bilhetes, estás pronta?
- We're flying?                                                                       --- Vamos de avião?
Would you rather drive?                                                               --- Preferes ir de carro?
You're asking me?                                                                     --- Está a perguntar-me?
Would you rather fly, or would you rather drive?                                      --- Queres ir de carro ou de avião?
So, I finally get to decide something?                                                --- Finalmente vou decidir algo?
That's what I'm saying.                                                               --- É o que estou a dizer.
Fine.                                                                                 --- Tudo bem.
Fly there, drive back.                                                                --- Vamos de avião e voltamos de carro.
That's the stupidest thing I've ever heard. How the hell we gonna do that?            --- Essa é a coisa mais idiota que eu já ouvi, como é que vamos fazer isso?
You said it was up to me.                                                             --- Não te preocupes.
Give´em hell there, Danger.                                                           --- Chega-lhe," Perigo". Ei, velhote.
Hey, Old School, the toilet's overflowing.                                            --- A casa de banho está inundada.
Hey Flippy Come here for a minute.                                                    --- Pancadinha, chega aqui um minuto.
Aw, Jesus.                                                                            --- Ah, Jesus!
Jesus, Mary and Joseph.                                                               --- Jesus, Maria e José!
Aw...                                                                                 --- Maldição!
Dumb-ass.                                                                             --- Idiota.
Could be sitting up at The Mirage... drinking mai-tais...                             --- Eu podia estar no Mirage. A beber uns copos.
looking at naked women.                                                               --- A ver mulheres nuas. - Vamos.
Come on. Put up your hands.                                                           --- - Põe as mãos para cima.
Time to get out of there.                                                             --- " Perigo", sai daí.
Fight back.                                                                           --- Reaja! Vamos!
Come on Flip.                                                                         --- Ei, vem cá, pancadinha.
What you doing? Let him go.                                                           --- O que estás a fazer, larga-o.
All right, OK, I've gotcha now.                                                       --- Estou contigo.
Come on, come on, come on.                                                            --- Vamos. Vamos.
- Don't need no corner training.                                                      --- Não precisamos de treino de canto.
- How'd I do, Mr.                                                                     --- Como estive, Sr.
Scrap?                                                                                --- Scraps?
You did good, Danger.                                                                 --- Estiveste bem," Perigo".
You did real good.                                                                    --- Muito bem. Bates bem!
You a rock.                                                                           --- Vamos, Pancadinha.
Oh, come on, Flip, man, you ain't done.                                               --- Não terminaste Nem lutaste ainda.
Anybody can lose one fight.                                                           --- Todos podem perder uma luta.
Anybody can lose one, son.                                                            --- Qualquer um pode perder uma, filho.
You'll come back from this, be champion of the world.                                 --- Sais desta e serás o campeão do mundo.
No, I won't, Mr.                                                                      --- Não vou ser, Sr. Scraps.
I should've knowed.                                                                   --- Eu devia ter percebido.
Come on Old School man.                                                               --- Vamos, velhote, não precisamos de segundos.
We don't need to be taught.                                                           --- Deixa que eu faço.
Oh, no, I can do her, just untie the Velcro for me.                                   --- Tire-me as luvas.
Hey, come on, don't take the gloves off, man. You ain't even used them, Danger.       --- Vamos, não tires as luvas, ainda nem as usaste," Perigo".
Mind if I... borrow this, Danger?                                                     --- Para falar a verdade, podes emprestar-me isto," Perigo?
Oh man! I thought your name was Danger.                                               --- Oh, achei que o teu nome era" Perigo".
Come on now.                                                                          --- Levanta-te!
Oh, oh, I see.                                                                        --- Oh, estou a ver.
Now I get to fight a retard and a old man.                                            --- Primeiro lutei com um atrasado, e agora com um velhote.
Call ESPN cos you can't write this shit.                                              --- Liga para a ESPN porque isto é inédito.
One hundred and ten.                                                                  --- Era disto que eu estava a falar.
Get a job, punk.                                                                      --- Arranja um emprego, sacana.
Win this one, I'll tell you what it means.                                            --- Ganhas esta e digo-te o que significa.
I got you some pipers.                                                                --- Arranjei umas gaitas de foles para ti.
Mo cuishle, mo cuishle, mo cuishle, mo cuishle!                                       --- Mo Cuishle
I want you to jab her right in the tits until they turn blue and fall off.            --- Dá uns" jabs"... bem nas mamas... até ficarem azuis e caírem.
Ladies and gentlemen, this is the feature presentation of the evening.                --- Senhoras e senhores, este é... o destaque desta noite.
In this corner, the challenger, Maggie Fitzgerald, in the red corner.                 --- Neste canto, a desafiante Maggie Fitzgerald No canto vermelho.
In the blue corner, the WBA Welterweight Champion of the world, Billie" The Blue Bear." --- E no canto azul. A campeã mundial dos médios pela WBA Billie" A Ursa Azul"
Sweet Jesus.                                                                          --- Santo Deus!
Fitzgerald is pushing the Blue Bear round the ring She's coming out strong.           --- Maggie Fitzgerald está a pressionar a Ursa Azul no ringue. Belas combinações.
Break it up.                                                                          --- Separem-se!
Break it!                                                                             --- Separem-se!
You do that one more time, it'll cost you a point, do you hear me?                    --- Se fizer isto mais uma vez, vai-lhe custar um ponto, ouviu?
OK, go fight.                                                                         --- Vá combater.
Come on!                                                                              --- Vamos!
What the fuck?                                                                        --- Luta! Chega!
I'm going to take away a point.                                                       --- Vou-lhe tirar um ponto.
One point deduction off the blue corner.                                              --- Tire um ponto do canto azul.
Ref!                                                                                  --- Maggie, levanta-se.
Ladies and gentlemen the first round is in the books in this championship match.      --- Senhoras e senhores, o primeiro" round"... entrou na história deste combate pelo título.
OK. - Open it.                                                                        --- Dá cá isso.
You pull that crap one more time, you're disqualified.                                --- Estás óptima. Se fizer isso mais uma vez, será desclassificada.
It's going to be all right.                                                           --- Vais ficar bem.
Got no doubt, boss.                                                                   --- Sem dúvida, chefe.
OK, you just watch yourself.                                                          --- Toma cuidado,
Stay away from this dame.                                                             --- Fica longe daquelas coisas.
Come on.                                                                              --- Vamos.
Go to the neutral corner. Neutral corner.                                             --- Vá para o seu canto, para o seu canto.
Stay down, bitch.                                                                     --- 4, 5, Fica no chão, cabra.
Seven, eight, nine...                                                                 --- 7, 8, 9...
Break it up. Break it! Break it!                                                      --- Separem-se.
Fitzgerald continues to pummel the Blue Bear, the East German champion.               --- Maggie Fitzgerald continua a dar uma tareia à" Ursa Azul". A campeã da Alemanha Oriental -
I got it, I got it.                                                                   --- Maggie, apanhaste-a. Ok. Ok.
Eyes are blurring, boss.                                                              --- A minha vista está a explodir, chefe. Esquece a vista.
- How many eyes you need to finish this fight?                                        --- Tens que terminar este combate. Ok.
Now, what do I do about the Bear?                                                     --- O que é que eu faço com a" Ursa"?
All right, you know that step into the outside and hook into the liver?               --- Sabes, quando sais e dás um gancho no fígado?
- I been doing that.                                                                  --- Eu fiz isso, mas ela tem fígado de aço.
She's made of steel. - But I don't want you to go to the liver this time.             --- Eu sei, mas não quero que atinjas o fígado desta vez,
Hit her right up under her skinny ass. Understand?                                    --- Quero que atinjas abaixo do cú magro dela, entendeste?
Right in the sciatic nerve.                                                           --- Bem no nervo ciático.
Just keep digging it in there, digging it in, and keep sticking her.                  --- Fica a bater, a bater e a bater. - Está a ouvir?
You hear that? What about the ref?                                                    --- - E o juiz?
Keep yourself between the ref and the Bear, and everything'll just be fine.           --- É só te manteres entre ela e o juiz e tudo bem.
This is yours.                                                                        --- Este é o teu.
