He is coming.                                                                         --- Ele vem aí.
I barely made it out of that... I"OOfT7... with just me head!                         --- Quase não consegui sair daquela sala com a minha cabeça!
And organs.                                                                           --- E órgãos.
Okay)'- I had to replace every part of my once-strapping... virile pirate body... with this useless hunk of garbage ye see before ye. --- Tive de substituir todas as peças do meu robusto e viril corpo de pirata de outrora por este monte de lixo inútil que vêem diante de vocês.
So if ye think it'd be a good idea to return... to that forsaken place...             --- Por isso, se achas que é boa ideia voltar
Special... what idea have ye that be better... than the ideas of 100... of our fallen MasterBuilder brothers? --- ó Escolhido, que ideia é que tens que pode superar a de 100 dos nossos irmãos Mestres Construtores caídos?
Well, uh...                                                                           --- Bem...
Well, technically I'm not exactly a MasterBuilder yet.                                --- Na verdade, eu ainda não sou um Mestre Construtor.
What?                                                                                 --- O quê?
Please!                                                                               --- Senhores!
Everyone!                                                                             --- Senhores!
Please!                                                                               --- Por favor!
Rubbish!                                                                              --- Tretas!
Yes, it's true.                                                                       --- Sim, é verdade.
I may not be a MasterBuilder.                                                         --- Posso não ser um Mestre Construtor.
I may not have a lot of experience... fighting or leading or coming up with plans.    --- Posso não ter muita experiência de combate, de liderança ou de pensar em planos.
Or having ideas in general.                                                           --- Ou ter ideias em geral.
In fact, I'm not all that smart.                                                      --- Na verdade, não sou assim muito inteligente.
And I'm not what you'd call a "creative type."                                        --- E não sou o que se chama de "tipo criativo".
Plus... generally unskilled.                                                          --- Além disso... ...não tenho grandes qualificações.
Also... scared and cowardly.                                                          --- Também tenho medo e sou cobarde.
I know what you're thinking: "He is the least qualified person... in the world to lead us." --- Eu sei o que estão a pensar: "Ele é a pessoa menos qualificada no mundo para liderar-nos."
And you are right.                                                                    --- E têm razão.
This is supposed to make us feel better?                                              --- Isso é para fazer-nos sentir melhor?
No, there was about to be a "but."                                                    --- Não, mas ia haver um "porém".
- You're a butt!                                                                      --- -És um palerma!
- Yes.                                                                                --- -Sim.
You all be on your own!                                                               --- Vocês ficam por conta própria!
I be leaving this lost cause!                                                         --- Eu vou deixar esta causa perdida!
Why are you leaving?                                                                  --- Porque se vão embora?
A house divided against itself would be better... than this.                          --- Até uma câmara dividida entre si era melhor do que isto.
Abraham Lincoln!                                                                      --- Abraham Lincoln!
You bring your space chair right back here!                                           --- Traga a sua cadeira espacial de volta para cá!
Come on, guys!                                                                        --- Vá lá, pessoal!
We can still do this.                                                                 --- Nós ainda vamos ser capazes.
Right?                                                                                --- Certo?
You're not even a bit special.                                                        --- Tu não és nem um bocadinho especial.
Well, you were right about him being a ding-dong.                                     --- Bem, tinhas razão ao dizer que ele era um palerma.
You're a huge disappointment.                                                         --- És uma grande desilusão.
Get him out of here.                                                                  --- Tirem-no daqui.
I don't wanna look at him.                                                            --- Não quero olhar para ele.
Well, at least it can't get any worse.                                                --- Bem, pelo menos não pode piorar.
I was wrong.                                                                          --- Eu estava errado.
It's the Orb of Tee-ti-list!                                                          --- É a Esfera do Tee-ti-list!
Ruh-roh.                                                                              --- 
It's the bad guys.                                                                    --- São os maus da fita.
Whoa.                                                                                 --- 
How did he...?                                                                        --- Como é que...
Go!                                                                                   --- Fujam!
Run!                                                                                  --- 
Come on, everyone!                                                                    --- Vamos, pessoal!
Protect The Special.                                                                  --- Protejam o Escolhido.
What's that on his ankle?                                                             --- O que é que ele tem no tornozelo?
It's a tracking device.                                                               --- É um localizador.
Take the MasterBuilders prisoner.                                                     --- 
Oh, he led them right to us.                                                          --- Ele trouxe-os mesmo até nós.
Guys, no, no, no.                                                                     --- Pessoal, não, não.
It's not my fault.                                                                    --- Eu não tenho culpa.
You are the worst leader I've ever seen.                                              --- És o pior líder que eu já vi.
To the Batmobile!                                                                     --- Para o Batmóvel!
Dang it.                                                                              --- Ora bolas.
To the invisible jet!                                                                 --- Para o jacto invisível!
- Dang it!                                                                            --- Ora bolas!
- Every man for himself.                                                              --- Cada um por si.
No, we must protect the Piece.                                                        --- Não, temos de proteger a Peça.
Shaq, do you know what time...                                                        --- Shaq, sabes que horas
- ...it is?                                                                           --- -é que são?
- It's game time.                                                                     --- -É hora do jogo.
Y'all ready for this?                                                                 --- Estão prontos para isto?
Oh, no! They were ready for that.                                                     --- Eles já estavam à espera.
It didn't break!                                                                      --- Não se partiu!
Because it's Kragled.                                                                 --- Porque está colado.
Machine gum!                                                                          --- Máquina de pastilha elástica!
Fire!                                                                                 --- Disparar!
No!                                                                                   --- Não!
Aah!                                                                                  --- 
I can't move!                                                                         --- Não me consigo mexer!
Don't worry, Superman.                                                                --- Não te preocupes, Super-Homem.
- I'll get you out of there.                                                          --- -Eu tiro-te daí.
- No!                                                                                 --- Não...
Don't!                                                                                --- Credo.
Aah!                                                                                  --- Credo.
Oh, my gosh. My hands are stuck.                                                      --- Tenho as mãos presas.
My legs are stuck as well.                                                            --- As pernas também.
I super hate you.                                                                     --- Eu super odeio-te.
- Ow! You're pulling my torso off.                                                    --- -Estão a tirar-me o torso.
- Babe... help me get him out of here.                                                --- -Querido, ajuda-me a tirá-lo daqui.
I said "every man for himself."                                                       --- Eu disse "cada um por si".
Hey, you gotta be there for me.                                                       --- Tens de apoiar-me.
Fine!                                                                                 --- Tudo bem!
Fine.                                                                                 --- Pronto.
Fine.                                                                                 --- Pronto.
Fine.                                                                                 --- Pronto.
- I need you to have a better attitude.                                               --- -Tens de melhorar a atitude.
- I have a great...  - ...attitude.                                                   --- -Tenho uma óptima atitude.
- Ouch. The Special's in the northwest quadrant.                                      --- 
We've got him cornered.                                                               --- Temo-lo encurralado.
Ouch.                                                                                 --- 
Ouch.                                                                                 --- 
Ouch. Where'd he go?                                                                  --- Aonde é que ele foi?
Oh, no!                                                                               --- Não!
They've hit our silly cloud stabilizers!                                              --- Eles atingiram os nossos estabilizadores de nuvens!
Let's go!                                                                             --- Vamos embora!
We need to get Emmet out of here.                                                     --- Temos de tirar o Emmet daqui.
- Can't we build something?                                                           --- Não podemos construir alguma coisa?
- Hey!                                                                                --- Sou o Ben.
I'm Ben.                                                                              --- Sou o Ben.
But you can call me Benny.                                                            --- Mas chamem-me Benny.
I can build a spaceship.                                                              --- Posso construir uma nave espacial.
Watch. Spaceship, spaceship, spaceship Spaceship, spaceship                           --- Nave espacial, espacial, espacial Nave espacial, espacial
No!                                                                                   --- Não podes.
You can't.                                                                            --- Não podes.
The skies are surrounded.                                                             --- Os céus estão cercados.
That's okay. I didn't really wanna build... a spaceship anyway.                       --- 
That's cool.                                                                          --- Não faz mal.
Where can we go where we can't be found?                                              --- Para onde podemos ir onde não nos encontrem?
Maybe we could go underwater?                                                         --- Podíamos ir para debaixo de água.
What if we went underwater?                                                           --- E se fôssemos para debaixo de água?
Great idea, babe!                                                                     --- Boa ideia, querido!
Thank you, Batman.                                                                    --- Obrigado, Batman.
Your ideas are the best.                                                              --- Tens sempre boas ideias.
But I just said that.                                                                 --- Mas eu acabei de dizer isso.
- We could build a submarine.                                                         --- -Podíamos construir um submarino.
- A Bat-Submarine, patent pending.                                                    --- -Um Bat-Submarino, com patente.
With rainbows!                                                                        --- Com arco-íris!
And dream catchers, in case we take a nap.                                            --- E apanhadores de sonhos, se fizermos uma soneca.
Like an underwater spaceship!                                                         --- Como uma nave espacial subaquática!
But you can't build all of them at once.                                              --- Mas não podem construir tudo de uma vez.
Ready?                                                                                --- Vamos a isto.
Break.                                                                                --- Vamos a isto.
Okay)'-                                                                               --- Está bem.
Blue razzleberry and sour apple!                                                      --- Preciso destas cores: azul frutos silvestres e maçã amarga.
If anybody has black parts, I need them, okay?                                        --- Quem ficar com peças pretas, eu quero-as, está bem?
I only work in black.                                                                 --- Eu só trabalho com preto.
And sometimes, very, very dark gray.                                                  --- E, às vezes, um cinzento muito, muito escuro.
- Use the yellow bricks!                                                              --- -Usa as peças amarelas!
- Hey, guys, can I help?                                                              --- -Pessoal, posso ajudar?
- No!                                                                                 --- -Não!
It has to be this way!                                                                --- Tem de ser assim!
- No, I need that!                                                                    --- -Não, eu preciso disso!
Where is he?                                                                          --- Onde é que ele está?
Anyone know what this is, and do you need it?                                         --- Alguém sabe o que é isto ou faz-vos falta?
I think we could use wings and rocket boosters.                                       --- Acho que podemos usar asas e propulsores com foguetes.
Get your retro space stuff out of my area.                                            --- Tira as tuas peças clássicas da minha zona.
And how to do it. Emmet, don't worry about what the others are doing.                 --- Acho que podemos usar asas e propulsores com foguetes.
You must embrace what is special about you!                                           --- Tens de aceitar aquilo que tens de especial.
There he is!                                                                          --- Ali está ele!
All units, attack the sub!                                                            --- Todas as unidades, ataquem o submarino.
Emmet, get in here!                                                                   --- Emmet, entra para aqui!
Stop him!                                                                             --- Impeçam-no!
Stop him!                                                                             --- Impeçam-no!
Don't let him... get to the water!                                                    --- Não o deixem chegar à água!
Dive, dive, dive!                                                                     --- Mergulha, mergulha!
Everybody in!                                                                         --- Entrem todos!
We're going under!                                                                    --- Estamos a imergir!
Oh, no.                                                                               --- Não.
My home.                                                                              --- O meu lar.
It's gone.                                                                            --- Desapareceu.
I feel something inside.                                                              --- Sinto algo no meu interior.
It's like the opposite of happiness.                                                  --- É o oposto da felicidade.
I must stay positive.                                                                 --- Tenho de manter-me optimista.
Ah.                                                                                   --- 
Bubble gums.                                                                          --- Pastilha elástica.
Butterflies.                                                                          --- Borboletas.
Cotton candy.                                                                         --- Algodão doce.
Gosh, I'm so sorry, Unikitty.                                                         --- 
Do you want to sit down and talk about it?                                            --- Queres sentar-te e falar sobre o assunto?
What the heck is that?                                                                --- O que raio é isso?
It's a double-decker couch.                                                           --- É um sofá de dois pisos.
Which seemed like a good idea at the time... but I now realize it's not super helpful. --- Na altura, parecia boa ideia, mas agora vejo que não é muito útil.
But, you know, it has cup holders.                                                    --- Mas tem porta-copos.
Seats flip up with coolers underneath.                                                --- Os assentos são articulados e têm frigoríficos por baixo.
You are so disappointing on so many levels.                                           --- És uma desilusão a todos os níveis.
- Why are my pants cold and wet?                                                      --- Porque tenho as calças frias e molhadas?
- Ew.                                                                                 --- 
Uh...                                                                                 --- 
Hull breach.                                                                          --- -Brecha no casco.
The walls are crying!                                                                 --- -As paredes estão a chorar!
We're coming apart at the seams!                                                      --- Estamos a rebentar pelas costuras!
This is not how Batman dies.                                                          --- O Batman não vai morrer assim.
Emmet!                                                                                --- Emmet!
- Hold on, hold on!                                                                   --- -Aguenta-te!
- Wyldstyle!                                                                          --- -SuperCool!
Deep breath!                                                                          --- Respirem fundo!
Deep breath, everybod...!                                                             --- Respirem fundo, to...
Micro-managers, what's going on down there?                                           --- Micro-gestores, o que se passa ali?
Scanning submarine wreckage.                                                          --- Examinar destroços do submarino.
No survivors detected.                                                                --- Não há sobreviventes.
Scuba cops, dredge the entire ocean if you have to.                                   --- Polícias mergulhadores, draguem o oceano todo se precisarem.
We have got to find that Piece.                                                       --- Temos de encontrar aquela Peça.
Let's get these prisoners back to Lord Business... and give him the good news.        --- Vamos levar estes prisioneiros ao Lorde Negócios e dar-lhe as boas notícias.
The Special is no more.                                                               --- Já não existe o Escolhido.
Hello, everybody!                                                                     --- Olá a todos!
Superman. Wonder Woman, I had no idea you'd be here.                                  --- Super-Homem, Mulher-Maravilha, não fazia ideia de que estariam aqui.
Mr. Shaquille O'Neal.                                                                 --- Mr. Shaquille O'Neal.
Greetings, all!                                                                       --- Saudações a todos!
Welcome to my Think Tank.                                                             --- Bem-vindos à minha Cela da Reflexão.
Help us!                                                                              --- Ajudem-nos!
All the MasterBuilders you've captured over the years... you've brought them here.    --- 
You're a very perceptive person, Superman.                                            --- És um homem muito perspicaz, Super-Homem.
They come up with all the instructions for everything in the universe.                --- Eles criam as instruções para tudo o que faz parte do universo.
Robots!                                                                               --- Robôs!
No!                                                                                   --- Não!
No!                                                                                   --- Não!
Grr!                                                                                  --- Não!
Can't get much worse than this.                                                       --- Não pode piorar mais do que isto.
- Uh, hello, neighbor.                                                                --- -Olá, vizinho.
- Oh, no.                                                                             --- -Não!
It's Green Lantern.                                                                   --- Sou o Lanterna Verde.
Oh, my gosh, we're roommates!                                                         --- Somos colegas de quarto!
How crazy is that?                                                                    --- 
Does anyone have some Kryptonite that they could give me?                             --- Alguém pode emprestar-me kryptonite?
Whoa, whoa, whoa.                                                                     --- Onde está o Escolhido?
Where is The Special?                                                                 --- Onde está o Escolhido?
The Special and the Piece of Resistance are at the bottom of the ocean.               --- O Escolhido e a Peça da Resistência estão no fundo do oceano.
Wait, are you telling me you don't have him?                                          --- Espera, estás a dizer-me que não o tens?
Sir, my scuba team is looking for his remains as we speak.                            --- A minha equipa de mergulhadores está à procura dos restos dele.
Bad Cop, he could still be alive!                                                     --- Polícia Mau, ele ainda pode estar vivo!
The Piece could still be out there.                                                   --- A Peça ainda pode estar por aí.
The only remnant of The Special was a double-decker couch.                            --- O único vestígio do Escolhido foi um sofá de dois andares.
Wait, hold on.                                                                        --- Espera aí.
A double-decker couch?                                                                --- Um sofá de dois andares?
Yes, sir.                                                                             --- Sim, senhor.
Really? So it's like a bunk-bed couch?                                                --- Tipo um sofá e um beliche?
Is that what it's like?                                                               --- É assim que ele é?
That's weird.                                                                         --- Que estranho.
If you're sitting in the top middle... how are you gonna get down without climbing over someone? --- Se estiveres sentado em cima, no meio, como é que vais descer sem passar por cima de alguém?
If you're sitting on the bottom and you're watching TV... are you gonna have to watch through a bunch of dangling legs? --- Se estás sentado em baixo e a ver televisão, vais conseguir ver com as pernas a abanar à frente?
Who's gonna want to sit on the bottom?                                                --- Quem é que vai querer sentar-se na parte de baixo?
It is literally... the most useless idea I have ever heard.                           --- É, sem dúvida, a ideia mais inútil que eu já ouvi.
- Well, we're still alive.                                                            --- -Bem, ainda estamos vivos.
- Yeah!                                                                               --- -Boa!
Heh. The double-decker couch.                                                         --- 
It wasn't totally pointless after all.                                                --- Afinal não era assim tão inútil.
It's the one thing that stayed together.                                              --- Foi a única coisa que não se desmontou.
I always believed in you, Emmet.                                                      --- Eu sempre acreditei em ti, Emmet.
I don't mean to spoil the party, but does anyone else notice... we're stuck in the middle of the ocean on this couch? --- Não quero ser desmancha-prazeres, mas já alguém reparou que estamos presos no meio do oceano neste sofá?
I mean, it's not like a big gigantic ship... is gonna come out of nowhere and save us... --- Quer dizer, não vai aparecer um grande navio de repente e salvar-nos...
My gosh!                                                                              --- Meu Deus!
Avast, mateys!                                                                        --- Parem, marinheiros!
Metal Beard, I thought you said we were a lost cause!                                 --- Barba de Ferro, pensei que achavas que éramos uma causa perdida.
Ye are!                                                                               --- E são!
Did ye not hear me whole story... circumscribing the folly of this whole enterprise?  --- Não me ouviram a contar a história que circunscreve a loucura de toda esta tarefa?
Well, it's kind of hard not to hear when you're yelling everything.                   --- Bem, é difícil não ouvir quando estás sempre a gritar.
So why did you come back?                                                             --- Então, porque voltaste?
This be-doubled land couch.                                                           --- Este sofá de dois andares.
I watched Lord Business' forces completely overlook it.                               --- Eu vi os homens do Lorde Negócios a não lhe prestarem atenção.
Which means we need more ideas like it!                                               --- Significa que precisamos de mais ideias destas!
Oh, thank you.                                                                        --- Obrigado.
Ideas so dumb and bad... that no one would ever think they could possibly be useful.  --- Ideias tão estúpidas e más que nunca ninguém iria pensar que pudessem ser úteis.
Oh.                                                                                   --- 
Thank you.                                                                            --- Obrigado.
So, Special, what do we do?                                                           --- Então, Escolhido, o que fazemos?
Uh...                                                                                 --- Bem...
Well... what's the last thing Lord Business expects MasterBuilders will do?           --- Qual é a última coisa que o Lorde Negócios espera que os Mestres Construtores façam?
Build a spaceship?                                                                    --- -Construir uma nave espacial?
Kill a chicken?                                                                       --- -Matar uma galinha?
Marry a marshmallow.                                                                  --- -Casar com um marshmallow.
Why, this:                                                                            --- -Então e isto?
How you gonna keep 'em down on the farm?                                              --- Como é que os vais manter Lá na quinta?
No! It's follow the instructions.                                                     --- É seguir as instruções.
- Don't like that.                                                                    --- -É estranho.
- Sounds weird.                                                                       --- -É estranho.
Now, listen.                                                                          --- Agora, escutem.
Wait, listen.                                                                         --- Esperem, escutem.
Guys, you're all so talented and imaginative.                                         --- Malta, vocês são tão talentosos e imaginativos.
But you can't work together as a team.                                                --- Mas não conseguem trabalhar em equipa.
I'm just a construction worker.                                                       --- Sou um simples trabalhador da construção.
But when I had a plan and we were all working together... I mean, we could build a skyscraper. --- Mas quando tinha um plano e trabalhávamos em conjunto...
Now, you're MasterBuilders.                                                           --- Vocês são Mestres Construtores.
Just imagine what could happen if you did that.                                       --- Imaginem o que podia acontecer se vocês fizessem isso.
You could save the universe.                                                          --- Podiam salvar o universo.
Well said, Emmet.                                                                     --- Muito bem, Emmet.
Well said.                                                                            --- Bem dito.
Really?                                                                               --- A sério?
She be a fine speech there, laddie.                                                   --- Fizeste um belo discurso, rapazinho.
Okay)'-                                                                               --- Está bem.
Somebody get me some markers... some construction paper... and some glitter glue!     --- Tragam-me marcadores... ...papel para planos de construção... ...e alguma cola de brilho!
I call this: "Emmet's plan to get inside the Tower... put the Piece of Resistance on the Kragle... and save the world." I've built a hundred just like them back in the city. --- Eu chamo a isto: "O plano do Emmet para entrar dentro da Torre, colocar a Peça da Resistência no Kragle e salvar o mundo."
If we can just get in, I know where the air ducts and wiring are located.             --- Se entrarmos, eu sei onde ficam as condutas de ar e os circuitos.
I can get us anywhere.                                                                --- Posso levar-nos até qualquer lado.
How will we get inside?                                                               --- Como é que vamos entrar?
In a spaceship.                                                                       --- Numa nave espacial.
- Spaceship!                                                                          --- -Uma nave espacial!
Ha, ha!                                                                               --- -Óptima ideia.
- Great idea.                                                                         --- Uma Bat-Nave Espacial.
A Bat-Spaceship.                                                                      --- Uma Bat-Nave Espacial.
No, they're expecting us to show up... in a Bat-Spaceship, or a pirate spaceship or a rainbow-sparkle spaceship. --- Não, eles estão à espera que venhamos numa Bat-Nave Espacial, numa nave espacial pirata, ou numa nave espacial tipo arco-íris.
One of those sounds awesome to me.                                                    --- Uma dessas opções parece-me fixe.
My idea is to build a spaceship... that's exactly like all the other Octan delivery spaceships. --- A minha ideia é construir uma nave espacial igual às outras naves de entrega da Octan.
So not the special spaceship that I'm building for all of you right now?              --- E não a nave espacial especial que estou a construir para vocês agora?
Sorry, Benny.                                                                         --- Talvez para a próxima.
Maybe next time.                                                                      --- Talvez para a próxima.
Ooh, you're really letting the oxygen out of my tank here.                            --- Estás mesmo a tirar-me o oxigénio da minha reserva.
Yeah, but according to your precious instructions... this ship needs a hyperdrive.    --- Sim, mas segundo as tuas queridas instruções, esta nave precisa de um hiper-propulsor.
We don't have that part.                                                              --- Não temos essa peça.
Maybe we could find one!                                                              --- Talvez possamos achar uma!
What do you think, a spaceship is just gonna appear out of the blue?                  --- Achas que vai aparecer uma nave espacial de repente?
Are you kidding me?                                                                   --- Estão a brincar comigo?
The same thing!                                                                       --- É a mesma coisa!
- Chewie!                                                                             --- Chewie!
- Mm! We're supposed to be halfway to Naboo for a sweet party!                        --- Devíamos estar a chegar a Naboo para a festa!
This hyperdrive keeps malfunctioning... taking us to loser systems like this.         --- Este hiper-propulsor está sempre a avariar e a levar-nos para planetas de falhados como este.
Captain Solo, we must go.                                                             --- Capitão Solo, temos de ir.
You know how perturbed I get if we are not punctual.                                  --- Sabe que eu não gosto de chegar atrasado.
The Droid's right.                                                                    --- O dróide tem razão.
Let's roll.                                                                           --- Vamos embora.
Now hold on, Han.                                                                     --- Tem calma, Han.
This might be the right galaxy after all.                                             --- Afinal de contas, esta pode ser a galáxia certa.
Because I see a heavenly body.                                                        --- Porque estou a ver um corpo celeste.
Ooh, whoa, I have a boyfriend.                                                        --- Eu tenho namorado e é uma relação séria.
And it is super serious.                                                              --- Certo, querido?
Right, babe?                                                                          --- Certo, querido?
- Of course it's serious.                                                             --- -Claro que é.
- Yeah! - Got room for just one dude?                                                 --- -Têm lugar para um tipo?
- Whoa!                                                                               --- -Querido!
Babe! If he's a cool dude like you.                                                   --- Se for fixe como tu.
You're trying to bail on us!                                                          --- -Estás a tentar fugir!
I'm not trying to bail!                                                               --- -Não estou a fugir!
You asked them if you could go with them on their party ship!                         --- Perguntaste-lhes se podias ir com eles na nave da festa!
That thing is filled with bon vivants.                                                --- Aquilo está cheio de bon vivants.
You speak French now?                                                                 --- Agora falas francês?
Babe, look, if this relationship is ever gonna work between us... I need to feel free to party... with a bunch of strangers whenever I feel like it. --- Querida, ouve, se quisermos que a nossa relação funcione, tenho de sentir-me livre para divertir-me com estranhos sempre que eu quiser.
What?                                                                                 --- O quê?
Babe!                                                                                 --- Querido!
I will text you.                                                                      --- Eu depois envio-te uma SMS.
Where'd you get that sweet space cape, brother?                                       --- Onde arranjaste essa capa espacial fixe, mano?
It's party time!                                                                      --- Está na hora da festa!
Babe?                                                                                 --- Querido?
Wyldstyle, you're such an amazing person.                                             --- SuperCool, és uma mulher extraordinária.
And, you know, if Batman can't see that, then he's just...                            --- E, sabes, se o Batman não consegue ver isso, ele...
Well, he's just as blind as a guy... whose eyes stopped working.                      --- Bem, ele é tão cego quanto um tipo cujos olhos deixaram de funcionar.
And I'm gonna tell you something:                                                     --- E vou dizer-te uma coisa.
Batman is the worst person I've ever met.                                             --- O Batman é a pior pessoa que eu já conheci.
- Need a hyperdrive?                                                                  --- -Precisas de um hiper-propulsor?
- No way.                                                                             --- -Não pode ser.
- Babe!                                                                               --- -Eu sabia!
- I knew it!                                                                          --- -Eu sabia!
I knew that.                                                                          --- Eu sabia.
You really had me there!                                                              --- Por um instante, enganaste-me!
Those guys were so lame.                                                              --- Aqueles tipos eram uns totós.
All they did was play space checkers.                                                 --- Só jogavam às damas espaciais.
Plus, it turns out the hairy one's a dude.                                            --- E mais, o mais cabeludo era um tipo.
And the metal one too.                                                                --- E o de metal também.
All dudes.                                                                            --- Eram todos homens.
But won't they notice their hyperdrive is missing?                                    --- Mas eles não vão dar pela falta do hiper-propulsor?
Come on, Chewie, hit the hyperdrive.                                                  --- Vá lá, Chewie, carrega no hiper-propulsor.
Nah, they'll be fine.                                                                 --- Não, eles vão ficar bem.
All right, we need a red four-piece unit over at the...                               --- Precisamos de uma unidade de peças vermelhas 2x2 aqui na...
Unikitty... you're supposed to follow the instructions, remember?                     --- Unigata, tens de seguir as instruções, lembras-te?
Sorry.                                                                                --- Desculpa.
Ugh, this gives me the jeebies.                                                       --- Isto dá-me medo.
What do I even...?                                                                    --- O que é que eu...
I can't...!                                                                           --- Não consigo...
Nice!                                                                                 --- Boa!
We pilot the ship to the service entrance... so we can get past the dangerous... but also kind of cool... laser gate. --- Pilotamos a nave até à entrada de serviço, para podermos passar pelo perigoso, mas também porreiro, portão a laser.
Space ID.                                                                             --- Identificação Espacial.
I have a drive-on.                                                                    --- Tenho ordens para seguir.
Who are you here to see?                                                              --- Com quem veio falar?
I'm here to see Your Butt.                                                            --- Vim falar com o Seu Asno.
Is that last name "Butt," first name "Your," or is it...?                             --- O apelido é "Asno", e o nome próprio "Seu", ou...
Oh, my gosh!                                                                          --- Meu Deus!
Pow.                                                                                  --- Meu Deus!
Wham.                                                                                 --- Meu Deus!
Ka-zap.                                                                               --- Primeira tentativa!
First try!                                                                            --- Primeira tentativa!
Step three." We break into Lord Business' office... and we'll plunder his collection of relics for disguises. --- Passo três: Forçamos a entrada no escritório do Lorde Negócios e roubamos um disfarce da colecção de relíquias dele.
Step four:                                                                            --- Passo quatro:
Benny and Metal Beard... will sneak their way into the master control room.           --- O Benny e o Barba de Metal vão esgueirar-se até à sala de controlo.
Motion sensors triggered in Sector 12.                                                --- Sensores de movimento activados no Sector 12.
10-4.                                                                                 --- Entendido.
